#AGE= 5.000 EEPS=271
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
9 0.115174 3.4988 5.2301 -2.7826 12.2173 14.6015 13.3768 11.9226 11.2945 11.0041 12.8353
10 0.137696 3.4995 5.1591 -2.6309 11.8323 14.1981 12.9775 11.5358 10.9126 10.6236 12.4445
11 0.175422 3.5034 5.0852 -2.4364 11.3287 13.6349 12.4261 11.0301 10.4194 10.1375 11.9244
12 0.213551 3.5091 5.0379 -2.2806 10.9234 13.1548 11.9649 10.6245 10.0272 9.7518 11.5002
13 0.238418 3.5126 5.0107 -2.1920 10.6976 12.8892 11.7128 10.3992 9.8090 9.5346 11.2652
14 0.262219 3.5156 4.9874 -2.1150 10.5009 12.6568 11.4926 10.2029 9.6190 9.3455 11.0602
15 0.285721 3.5186 4.9674 -2.0459 10.3232 12.4461 11.2932 10.0256 9.4478 9.1755 10.8747
16 0.300339 3.5204 4.9527 -2.0024 10.2115 12.3147 11.1686 9.9139 9.3401 9.0687 10.7581
17 0.309016 3.5213 4.9421 -1.9755 10.1414 12.2332 11.0909 9.8434 9.2721 9.0018 10.6848
18 0.315430 3.5220 4.9339 -1.9553 10.0891 12.1730 11.0333 9.7910 9.2215 8.9519 10.6305
19 0.319447 3.5225 4.9276 -1.9418 10.0541 12.1329 10.9950 9.7558 9.1875 8.9182 10.5940
20 0.321640 3.5242 4.9308 -1.9352 10.0317 12.0921 10.9593 9.7323 9.1690 8.9023 10.5660
21 0.323089 3.5236 4.9277 -1.9323 10.0267 12.0932 10.9585 9.7278 9.1627 8.8952 10.5628
22 0.323962 3.5229 4.9264 -1.9332 10.0310 12.1060 10.9688 9.7323 9.1653 8.8968 10.5695
23 0.324585 3.5223 4.9266 -1.9350 10.0369 12.1184 10.9792 9.7385 9.1699 8.9007 10.5772
24 0.324853 3.5227 4.9308 -1.9368 10.0395 12.1156 10.9774 9.7408 9.1737 8.9056 10.5780
25 0.325954 3.5237 4.9345 -1.9350 10.0317 12.0970 10.9615 9.7323 9.1683 8.9016 10.5668
26 0.327750 3.5238 4.9297 -1.9277 10.0138 12.0788 10.9438 9.7146 9.1505 8.8835 10.5490
27 0.329831 3.5243 4.9256 -1.9196 9.9925 12.0539 10.9195 9.6933 9.1306 8.8639 10.5265
28 0.329618 3.5242 4.9240 -1.9180 9.9888 12.0501 10.9155 9.6897 9.1271 8.8606 10.5226
29 0.297027 3.5184 4.9492 -1.9995 10.2000 12.3037 11.1451 9.9053 9.3312 9.0595 10.7447
30 0.293878 3.5170 4.9505 -2.0076 10.2213 12.3313 11.1686 9.9286 9.3512 9.0774 10.7684
31 0.289913 3.5147 4.9518 -2.0190 10.2523 12.3745 11.2072 9.9625 9.3791 9.1018 10.8045
32 0.290113 3.5124 4.9521 -2.0237 10.2701 12.4090 11.2418 9.9829 9.3911 9.1087 10.8302
33 0.523052 3.5621 4.7525 -1.3926 8.5945 10.3442 9.3033 8.2724 7.8203 7.6025 9.0233
34 0.532340 3.5647 4.7430 -1.3644 8.5286 10.2675 9.2334 8.2058 7.7565 7.5383 8.9550
35 0.544778 3.5689 4.7313 -1.3254 8.4315 10.1436 9.1173 8.1063 7.6648 7.4496 8.8494
36 0.568768 3.5787 4.7138 -1.2506 8.2110 9.8358 8.8107 7.8819 7.4772 7.2800 8.5921
37 0.589370 3.5873 4.6987 -1.1862 8.0221 9.5753 8.5479 7.6927 7.3206 7.1364 8.3719
38 0.612970 3.5976 4.6831 -1.1120 7.7973 9.2619 8.2292 7.4707 7.1421 6.9740 8.1072
39 0.639015 3.6096 4.6675 -1.0308 7.5462 8.9106 7.8741 7.2269 6.9500 6.7993 7.8111
40 0.668470 3.6238 4.6520 -0.9397 7.2608 8.5092 7.4838 6.9543 6.7339 6.6021 7.4787
41 0.714195 3.6463 4.6313 -0.8006 6.8272 7.8935 6.9351 6.5464 6.3955 6.2917 6.9880
42 0.754697 3.6664 4.6138 -0.6793 6.4597 7.3700 6.5114 6.2034 6.0912 6.0111 6.5863
43 0.782483 3.6796 4.6013 -0.5980 6.2229 7.0355 6.2529 5.9828 5.8877 5.8223 6.3325
