#AGE= 1.000 EEPS=271
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
58 1.689334 3.8703 4.0905 1.0098 2.2409 2.2348 2.1770 2.2441 2.3042 2.3479 2.2152
59 1.698950 3.8711 4.0843 1.0217 2.2122 2.2036 2.1482 2.2169 2.2772 2.3211 2.1863
60 1.708027 3.8718 4.0782 1.0327 2.1856 2.1748 2.1214 2.1914 2.2519 2.2959 2.1593
61 1.716893 3.8724 4.0721 1.0434 2.1594 2.1468 2.0953 2.1665 2.2271 2.2712 2.1329
62 1.726095 3.8729 4.0657 1.0545 2.1325 2.1178 2.0682 2.1407 2.2014 2.2456 2.1057
63 1.735819 3.8736 4.0587 1.0664 2.1038 2.0872 2.0394 2.1131 2.1738 2.2182 2.0766
64 1.746111 3.8742 4.0511 1.0789 2.0732 2.0545 2.0087 2.0836 2.1445 2.1888 2.0457
65 1.756557 3.8747 4.0429 1.0918 2.0418 2.0215 1.9773 2.0534 2.1142 2.1586 2.0141
66 1.767274 3.8751 4.0342 1.1047 2.0099 1.9881 1.9453 2.0223 2.0832 2.1275 1.9821
67 1.777860 3.8754 4.0254 1.1175 1.9782 1.9553 1.9137 1.9915 2.0522 2.0967 1.9502
68 1.788395 3.8757 4.0165 1.1302 1.9468 1.9228 1.8823 1.9608 2.0216 2.0659 1.9187
69 1.798833 3.8759 4.0073 1.1427 1.9157 1.8908 1.8511 1.9301 1.9907 2.0352 1.8875
70 1.809213 3.8761 3.9980 1.1553 1.8844 1.8588 1.8199 1.8994 1.9599 2.0044 1.8562
71 1.819647 3.8762 3.9883 1.1678 1.8529 1.8265 1.7883 1.8684 1.9286 1.9731 1.8244
72 1.830119 3.8762 3.9783 1.1805 1.8211 1.7944 1.7565 1.8369 1.8970 1.9414 1.7926
73 1.840580 3.8763 3.9679 1.1931 1.7892 1.7624 1.7246 1.8051 1.8651 1.9093 1.7608
74 1.851054 3.8760 3.9571 1.2057 1.7571 1.7307 1.6927 1.7730 1.8327 1.8768 1.7288
75 1.861545 3.8758 3.9460 1.2182 1.7250 1.6989 1.6606 1.7407 1.8001 1.8442 1.6968
76 1.871889 3.8753 3.9345 1.2307 1.6931 1.6679 1.6288 1.7085 1.7676 1.8115 1.6651
77 1.882084 3.8749 3.9228 1.2427 1.6618 1.6378 1.5975 1.6765 1.7353 1.7791 1.6340
78 1.892052 3.8742 3.9108 1.2544 1.6312 1.6089 1.5671 1.6452 1.7034 1.7470 1.6038
79 1.901862 3.8735 3.8984 1.2658 1.6011 1.5809 1.5371 1.6140 1.6718 1.7151 1.5741
80 1.911458 3.8724 3.8857 1.2768 1.5717 1.5540 1.5078 1.5831 1.6403 1.6835 1.5450
81 1.920887 3.8713 3.8725 1.2876 1.5427 1.5283 1.4790 1.5526 1.6093 1.6520 1.5167
82 1.926987 3.8706 3.8638 1.2945 1.5241 1.5118 1.4605 1.5327 1.5889 1.6315 1.4984
83 1.933019 3.8696 3.8548 1.3012 1.5057 1.4958 1.4421 1.5130 1.5687 1.6111 1.4803
84 1.938993 3.8687 3.8457 1.3079 1.4875 1.4804 1.4241 1.4934 1.5486 1.5908 1.4626
85 1.944897 3.8677 3.8367 1.3143 1.4696 1.4652 1.4063 1.4740 1.5288 1.5705 1.4451
86 1.950732 3.8667 3.8275 1.3208 1.4518 1.4505 1.3887 1.4547 1.5089 1.5505 1.4279
87 1.956484 3.8656 3.8180 1.3270 1.4342 1.4361 1.3714 1.4355 1.4892 1.5305 1.4108
88 1.962167 3.8644 3.8086 1.3332 1.4171 1.4224 1.3545 1.4166 1.4697 1.5106 1.3943
89 1.967781 3.8632 3.7990 1.3392 1.4001 1.4089 1.3377 1.3978 1.4503 1.4909 1.3779
90 1.973307 3.8619 3.7893 1.3451 1.3834 1.3957 1.3211 1.3792 1.4311 1.4713 1.3617
91 1.978756 3.8606 3.7796 1.3508 1.3669 1.3831 1.3050 1.3608 1.4121 1.4519 1.3459
92 1.984127 3.8593 3.7697 1.3564 1.3508 1.3711 1.2892 1.3426 1.3933 1.4327 1.3304
93 1.989402 3.8579 3.7597 1.3619 1.3350 1.3595 1.2735 1.3247 1.3747 1.4137 1.3153
94 1.994514 3.8563 3.7494 1.3672 1.3195 1.3485 1.2584 1.3070 1.3561 1.3947 1.3006
95 1.999571 3.8548 3.7392 1.3724 1.3045 1.3379 1.2436 1.2896 1.3380 1.3760 1.2863
96 2.004547 3.8533 3.7290 1.3774 1.2896 1.3276 1.2290 1.2724 1.3200 1.3577 1.2721
97 2.009416 3.8516 3.7189 1.3823 1.2750 1.3178 1.2147 1.2554 1.3023 1.3394 1.2583
98 2.014225 3.8500 3.7085 1.3871 1.2606 1.3084 1.2008 1.2386 1.2847 1.3213 1.2448
99 2.019001 3.8484 3.6982 1.3918 1.2465 1.2992 1.1868 1.2219 1.2672 1.3033 1.2313
100 2.023728 3.8468 3.6880 1.3966 1.2322 1.2901 1.1730 1.2053 1.2498 1.2852 1.2180
101 2.028472 3.8452 3.6777 1.4014 1.2179 1.2808 1.1590 1.1886 1.2322 1.2672 1.2046
102 2.033257 3.8436 3.6674 1.4063 1.2036 1.2715 1.1451 1.1719 1.2147 1.2491 1.1910
103 2.038048 3.8420 3.6571 1.4113 1.1890 1.2618 1.1307 1.1551 1.1969 1.2307 1.1772
104 2.042892 3.8404 3.6467 1.4166 1.1738 1.2514 1.1159 1.1376 1.1785 1.2118 1.1628
105 2.047873 3.8389 3.6364 1.4222 1.1577 1.2400 1.1002 1.1195 1.1596 1.1923 1.1475
106 2.052815 3.8379 3.6268 1.4284 1.1407 1.2264 1.0834 1.1009 1.1403 1.1727 1.1311
107 2.057313 3.8373 3.6191 1.4350 1.1236 1.2109 1.0664 1.0831 1.1222 1.1543 1.1142
108 2.060922 3.8375 3.6141 1.4413 1.1080 1.1948 1.0508 1.0678 1.1069 1.1390 1.0986
