#AGE= 0.750 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
3 0.151396 3.5083 5.1274 -2.5154 11.4961 13.7247 12.4958 11.1876 10.6101 10.3526 12.0529
4 0.207651 3.5152 5.0293 -2.2415 10.7827 12.9128 11.7037 10.4715 9.9167 9.6702 11.3112
5 0.282106 3.5290 4.9812 -1.9967 10.1345 12.1049 10.9342 9.8215 9.3087 9.0728 10.6160
6 0.359192 3.5390 4.9445 -1.8196 9.6629 11.5330 10.3871 9.3478 8.8655 8.6399 10.1126
7 0.339412 3.5364 4.9579 -1.8878 9.8399 11.7451 10.5884 9.5250 9.0357 8.8088 10.2982
8 0.329889 3.5350 4.9617 -1.9117 9.9046 11.8239 10.6642 9.5902 9.0964 8.8678 10.3676
9 0.330473 3.5349 4.9586 -1.9077 9.8946 11.8134 10.6539 9.5803 9.0867 8.8579 10.3576
10 0.335403 3.5354 4.9501 -1.8906 9.8509 11.7639 10.6061 9.5368 9.0446 8.8160 10.3124
11 0.346949 3.5370 4.9369 -1.8565 9.7628 11.6610 10.5079 9.4487 8.9602 8.7329 10.2202
12 0.379181 3.5418 4.9125 -1.7749 9.5475 11.3995 10.2618 9.2315 8.7556 8.5335 9.9914
13 0.420220 3.5488 4.8818 -1.6704 9.2689 11.0566 9.9390 8.9482 8.4938 8.2812 9.6916
14 0.497222 3.5655 4.8030 -1.4412 8.6494 10.3005 9.2063 8.3236 7.9279 7.7388 9.0191
15 0.515472 3.5712 4.7812 -1.3812 8.4845 10.0930 9.0025 8.1579 7.7828 7.6010 8.8360
16 0.486897 3.5669 4.8064 -1.4606 8.6969 10.3480 9.2475 8.3700 7.9798 7.7931 9.0628
17 0.498325 3.5703 4.7944 -1.4238 8.5952 10.2185 9.1195 8.2683 7.8918 7.7098 8.9494
18 0.508023 3.5738 4.7827 -1.3892 8.4978 10.0920 8.9927 8.1732 7.8100 7.6323 8.8398
19 0.507781 3.5741 4.7791 -1.3846 8.4811 10.0679 8.9625 8.1614 7.8013 7.6231 8.8194
20 0.504639 3.5724 4.7780 -1.3917 8.5047 10.1096 9.0050 8.1889 7.8221 7.6382 8.8515
21 0.502156 3.5704 4.7767 -1.3986 8.5455 10.1860 9.0929 8.2296 7.8457 7.6524 8.9102
22 0.503496 3.5700 4.7718 -1.3926 8.5510 10.2026 9.1233 8.2279 7.8314 7.6345 8.9253
23 0.511307 3.5723 4.7623 -1.3657 8.4809 10.1069 9.0204 8.1513 7.7645 7.5728 8.8424
24 0.524944 3.5776 4.7504 -1.3209 8.3504 9.9295 8.8306 8.0197 7.6580 7.4749 8.6883
25 0.544840 3.5858 4.7355 -1.2590 8.1666 9.6793 8.5775 7.8373 7.5084 7.3373 8.4747
26 0.569308 3.5961 4.7191 -1.1834 7.9398 9.3683 8.2687 7.6144 7.3260 7.1695 8.2121
27 0.603763 3.6115 4.6986 -1.0760 7.6147 8.9178 7.8250 7.2983 7.0715 6.9353 7.8345
28 0.857206 3.7216 4.5986 -0.3903 5.5700 6.0495 5.4065 5.3806 5.3976 5.3861 5.5802
29 0.866492 3.7263 4.5953 -0.3641 5.5170 5.9770 5.4011 5.3356 5.3372 5.3240 5.5410
30 0.782099 3.6911 4.6282 -0.5847 6.1904 6.9173 6.2074 5.9682 5.8867 5.8284 6.2862
31 0.814295 3.7073 4.6186 -0.4915 5.9213 6.5272 5.9155 5.7197 5.6584 5.6153 5.9976
32 0.858872 3.7287 4.6045 -0.3652 5.5648 6.0297 5.5434 5.3891 5.3477 5.3248 5.6202
33 1.117644 3.8279 4.4778 0.2950 3.8839 3.9174 3.8087 3.8117 3.8643 3.9115 3.8648
34 1.010367 3.7772 4.5180 -0.0120 4.7054 5.0056 4.6706 4.5792 4.5787 4.5850 4.7320
35 1.007746 3.7742 4.5183 -0.0283 4.7420 5.0515 4.7087 4.6131 4.6102 4.6140 4.7705
36 1.037702 3.7832 4.4974 0.0435 4.5704 4.8475 4.5336 4.4513 4.4559 4.4652 4.5930
37 1.056001 3.7875 4.4831 0.0821 4.4784 4.7407 4.4400 4.3642 4.3721 4.3834 4.4984
38 1.084453 3.7942 4.4627 0.1414 4.3359 4.5731 4.2950 4.2298 4.2431 4.2580 4.3519
39 1.130779 3.8047 4.4281 0.2370 4.1054 4.3028 4.0608 4.0119 4.0340 4.0546 4.1147
40 1.157714 3.8101 4.4070 0.2905 3.9800 4.1602 3.9340 3.8930 3.9190 3.9423 3.9863
41 1.162348 3.8102 4.4005 0.2983 3.9642 4.1472 3.9192 3.8778 3.9030 3.9264 3.9711
42 1.280034 3.8334 4.3149 0.5198 3.4319 3.5294 3.3791 3.3746 3.4175 3.4526 3.4246
43 1.372604 3.8499 4.2497 0.6828 3.0467 3.0927 2.9899 3.0116 3.0649 3.1073 3.0306
44 1.638236 3.9200 4.1766 1.1240 2.0479 1.8948 1.9758 2.1212 2.2082 2.2679 1.9980
45 1.637642 3.9214 4.1923 1.1135 2.0789 1.9241 2.0069 2.1563 2.2423 2.3008 2.0289
46 1.664194 3.9271 4.1880 1.1471 2.0021 1.8316 1.9296 2.0885 2.1766 2.2365 1.9496
47 1.710614 3.9352 4.1714 1.2086 1.8607 1.6683 1.7868 1.9592 2.0502 2.1119 1.8047
48 1.753578 3.9421 4.1560 1.2636 1.7344 1.5224 1.6602 1.8450 1.9378 2.0006 1.6757
49 1.769116 3.9444 4.1512 1.2819 1.6939 1.4762 1.6200 1.8106 1.9029 1.9652 1.6343
50 1.692968 3.9203 4.2029 1.1009 2.1171 1.9718 2.0505 2.1995 2.2768 2.3310 2.0703
51 1.705454 3.9195 4.1861 1.1181 2.0740 1.9297 2.0075 2.1562 2.2325 2.2861 2.0273
52 1.712206 3.9200 4.1809 1.1269 2.0525 1.9070 1.9865 2.1362 2.2119 2.2660 2.0059
53 1.720256 3.9207 4.1752 1.1374 2.0280 1.8806 1.9621 2.1135 2.1888 2.2428 1.9813
54 1.729128 3.9216 4.1697 1.1485 2.0019 1.8519 1.9359 2.0893 2.1640 2.2183 1.9549
55 1.736940 3.9222 4.1645 1.1583 1.9788 1.8264 1.9133 2.0681 2.1425 2.1969 1.9316
56 1.722999 3.9196 4.1664 1.1420 2.0174 1.8733 1.9526 2.1033 2.1757 2.2288 1.9714
57 1.733900 3.9207 4.1601 1.1554 1.9865 1.8389 1.9218 2.0747 2.1469 2.2005 1.9401
58 1.745717 3.9219 4.1538 1.1693 1.9543 1.8026 1.8895 2.0449 2.1172 2.1708 1.9072
59 1.756424 3.9229 4.1478 1.1819 1.9247 1.7699 1.8602 2.0174 2.0897 2.1435 1.8775
60 1.767668 3.9240 4.1418 1.1949 1.8940 1.7358 1.8295 1.9887 2.0613 2.1154 1.8463
61 1.780047 3.9252 4.1352 1.2095 1.8600 1.6982 1.7956 1.9569 2.0299 2.0841 1.8117
62 1.793768 3.9264 4.1272 1.2260 1.8214 1.6556 1.7571 1.9209 1.9938 2.0482 1.7725
63 1.808464 3.9279 4.1184 1.2440 1.7794 1.6096 1.7154 1.8814 1.9546 2.0093 1.7301
64 1.823384 3.9292 4.1087 1.2623 1.7360 1.5621 1.6721 1.8404 1.9142 1.9689 1.6862
65 1.837181 3.9302 4.0992 1.2795 1.6953 1.5182 1.6315 1.8020 1.8758 1.9307 1.6450
66 1.850236 3.9310 4.0897 1.2951 1.6579 1.4784 1.5940 1.7660 1.8400 1.8948 1.6072
67 1.861399 3.9314 4.0810 1.3082 1.6257 1.4445 1.5620 1.7349 1.8086 1.8635 1.5749
68 1.871313 3.9315 4.0724 1.3198 1.5972 1.4150 1.5337 1.7071 1.7806 1.8353 1.5463
69 1.880714 3.9315 4.0637 1.3306 1.5698 1.3873 1.5065 1.6801 1.7533 1.8080 1.5189
70 1.889868 3.9316 4.0548 1.3414 1.5423 1.3593 1.4789 1.6529 1.7259 1.7806 1.4915
71 1.899810 3.9314 4.0451 1.3533 1.5119 1.3284 1.4486 1.6232 1.6957 1.7503 1.4608
72 1.910878 3.9314 4.0344 1.3668 1.4774 1.2931 1.4142 1.5895 1.6614 1.7161 1.4264
73 1.922286 3.9315 4.0229 1.3811 1.4412 1.2559 1.3779 1.5539 1.6254 1.6799 1.3900
74 1.933984 3.9312 4.0102 1.3953 1.4039 1.2186 1.3410 1.5168 1.5881 1.6425 1.3530
75 1.944927 3.9310 3.9976 1.4085 1.3688 1.1834 1.3060 1.4816 1.5521 1.6066 1.3180
76 1.946245 3.9288 3.9901 1.4078 1.3631 1.1806 1.3002 1.4741 1.5433 1.5975 1.3128
77 1.956765 3.9282 3.9782 1.4200 1.3305 1.1482 1.2676 1.4410 1.5099 1.5639 1.2804
78 1.966857 3.9276 3.9664 1.4316 1.2994 1.1179 1.2366 1.4097 1.4778 1.5317 1.2496
79 1.976668 3.9272 3.9548 1.4428 1.2689 1.0884 1.2065 1.3787 1.4462 1.5003 1.2193
80 1.986012 3.9260 3.9424 1.4535 1.2392 1.0600 1.1766 1.3481 1.4146 1.4688 1.1898
81 1.982624 3.9236 3.9391 1.4452 1.2508 1.0759 1.1884 1.3570 1.4226 1.4761 1.2023
82 1.987774 3.9226 3.9313 1.4504 1.2346 1.0613 1.1723 1.3397 1.4049 1.4581 1.1862
83 1.993097 3.9218 3.9231 1.4559 1.2185 1.0468 1.1558 1.3224 1.3871 1.4401 1.1703
84 1.998696 3.9207 3.9148 1.4617 1.2015 1.0321 1.1390 1.3042 1.3684 1.4213 1.1538
85 2.004487 3.9199 3.9060 1.4678 1.1837 1.0163 1.1212 1.2848 1.3488 1.4014 1.1362
86 2.010473 3.9188 3.8967 1.4743 1.1648 0.9998 1.1026 1.2647 1.3284 1.3805 1.1179
87 2.016650 3.9177 3.8867 1.4814 1.1452 0.9825 1.0830 1.2434 1.3068 1.3588 1.0986
88 2.022954 3.9166 3.8767 1.4885 1.1251 0.9653 1.0631 1.2213 1.2844 1.3361 1.0788
89 2.029324 3.9153 3.8661 1.4957 1.1046 0.9476 1.0425 1.1991 1.2617 1.3131 1.0587
90 2.035702 3.9144 3.8558 1.5030 1.0839 0.9300 1.0219 1.1767 1.2394 1.2902 1.0388
91 2.041967 3.9131 3.8454 1.5099 1.0637 0.9127 1.0015 1.1542 1.2165 1.2672 1.0189
92 2.048117 3.9119 3.8345 1.5170 1.0434 0.8964 0.9813 1.1319 1.1939 1.2444 0.9992
93 2.054143 3.9105 3.8236 1.5239 1.0236 0.8803 0.9613 1.1093 1.1713 1.2215 0.9797
94 2.060009 3.9091 3.8126 1.5306 1.0039 0.8650 0.9416 1.0872 1.1487 1.1984 0.9607
95 2.065923 3.9077 3.8014 1.5373 0.9844 0.8497 0.9219 1.0649 1.1260 1.1756 0.9419
96 2.071836 3.9061 3.7901 1.5441 0.9648 0.8345 0.9019 1.0426 1.1033 1.1526 0.9229
97 2.080963 3.9048 3.7746 1.5560 0.9314 0.8057 0.8685 1.0065 1.0669 1.1159 0.8902
98 2.086564 3.9031 3.7630 1.5623 0.9127 0.7917 0.8494 0.9849 1.0445 1.0932 0.8721
99 2.091858 3.9015 3.7516 1.5681 0.8948 0.7787 0.8313 0.9638 1.0229 1.0714 0.8549
100 2.096876 3.8997 3.7401 1.5737 0.8772 0.7662 0.8140 0.9434 1.0018 1.0500 0.8385
101 2.101763 3.8979 3.7286 1.5790 0.8604 0.7543 0.7971 0.9233 0.9812 1.0293 0.8223
102 2.106524 3.8960 3.7172 1.5844 0.8439 0.7427 0.7806 0.9038 0.9611 1.0086 0.8063
103 2.111125 3.8943 3.7054 1.5895 0.8277 0.7321 0.7646 0.8848 0.9413 0.9883 0.7912
104 2.115768 3.8923 3.6940 1.5945 0.8120 0.7214 0.7489 0.8656 0.9213 0.9683 0.7762
105 2.120622 3.8905 3.6821 1.5996 0.7955 0.7107 0.7325 0.8460 0.9013 0.9477 0.7606
106 2.125674 3.8888 3.6704 1.6056 0.7781 0.6983 0.7155 0.8258 0.8804 0.9263 0.7441
107 2.130713 3.8877 3.6601 1.6123 0.7599 0.6834 0.6974 0.8058 0.8598 0.9055 0.7263
108 2.135079 3.8875 3.6532 1.6190 0.7425 0.6667 0.6799 0.7881 0.8419 0.8873 0.7093
109 2.138585 3.8878 3.6492 1.6253 0.7272 0.6502 0.6646 0.7734 0.8273 0.8729 0.6937
110 2.141234 3.8888 3.6482 1.6313 0.7141 0.6340 0.6517 0.7627 0.8166 0.8622 0.6803
111 2.143204 3.8904 3.6494 1.6365 0.7034 0.6185 0.6408 0.7546 0.8088 0.8549 0.6688
112 2.143627 3.8907 3.6497 1.6377 0.7013 0.6153 0.6388 0.7531 0.8076 0.8536 0.6664
113 2.144046 3.8912 3.6503 1.6390 0.6991 0.6118 0.6363 0.7517 0.8062 0.8524 0.6641
114 2.144457 3.8918 3.6510 1.6402 0.6969 0.6084 0.6343 0.7504 0.8049 0.8511 0.6615
115 2.144897 3.8921 3.6518 1.6414 0.6946 0.6050 0.6321 0.7488 0.8037 0.8497 0.6592
116 2.145367 3.8926 3.6523 1.6428 0.6922 0.6014 0.6295 0.7472 0.8021 0.8483 0.6566
117 2.145891 3.8931 3.6532 1.6444 0.6894 0.5972 0.6268 0.7457 0.8004 0.8468 0.6536
118 2.146444 3.8937 3.6541 1.6459 0.6866 0.5926 0.6238 0.7435 0.7986 0.8450 0.6505
119 2.146985 3.8943 3.6546 1.6476 0.6835 0.5880 0.6209 0.7416 0.7967 0.8433 0.6473
120 2.147523 3.8947 3.6549 1.6492 0.6807 0.5840 0.6181 0.7395 0.7946 0.8413 0.6441
121 2.148073 3.8954 3.6563 1.6511 0.6772 0.5783 0.6146 0.7375 0.7926 0.8395 0.6404
122 2.148619 3.8960 3.6571 1.6528 0.6737 0.5731 0.6112 0.7355 0.7907 0.8376 0.6368
123 2.149149 3.8966 3.6579 1.6546 0.6710 0.5685 0.6085 0.7334 0.7888 0.8359 0.6337
124 2.149667 3.8974 3.6594 1.6566 0.6673 0.5621 0.6047 0.7316 0.7871 0.8344 0.6296
125 2.150169 3.8982 3.6609 1.6586 0.6642 0.5567 0.6017 0.7297 0.7854 0.8329 0.6261
126 2.150658 3.8991 3.6621 1.6605 0.6610 0.5515 0.5988 0.7280 0.7840 0.8314 0.6228
127 2.151125 3.9001 3.6640 1.6626 0.6573 0.5448 0.5951 0.7266 0.7828 0.8302 0.6187
128 2.151578 3.9010 3.6656 1.6646 0.6545 0.5393 0.5922 0.7253 0.7815 0.8290 0.6153
129 2.152017 3.9021 3.6680 1.6672 0.6505 0.5315 0.5885 0.7237 0.7801 0.8278 0.6109
130 2.152412 3.9032 3.6701 1.6692 0.6472 0.5247 0.5856 0.7225 0.7794 0.8272 0.6071
131 2.152773 3.9047 3.6730 1.6719 0.6435 0.5167 0.5824 0.7219 0.7787 0.8266 0.6030
132 2.153078 3.9058 3.6758 1.6744 0.6400 0.5084 0.5792 0.7215 0.7784 0.8266 0.5988
133 2.153379 3.9075 3.6791 1.6773 0.6364 0.4993 0.5765 0.7216 0.7783 0.8268 0.5948
134 2.153677 3.9090 3.6828 1.6803 0.6330 0.4896 0.5738 0.7219 0.7784 0.8273 0.5904
135 2.153986 3.9106 3.6864 1.6829 0.6295 0.4798 0.5710 0.7225 0.7788 0.8279 0.5861
136 2.154259 3.9123 3.6903 1.6859 0.6260 0.4696 0.5684 0.7234 0.7790 0.8289 0.5821
137 2.154523 3.9142 3.6942 1.6896 0.6209 0.4580 0.5644 0.7228 0.7780 0.8282 0.5763
138 2.154759 3.9162 3.6986 1.6937 0.6157 0.4465 0.5600 0.7222 0.7773 0.8279 0.5703
139 2.154972 3.9187 3.7036 1.6982 0.6106 0.4353 0.5548 0.7209 0.7765 0.8273 0.5643
140 2.155169 3.9211 3.7085 1.7029 0.6049 0.4248 0.5487 0.7184 0.7755 0.8265 0.5575
141 2.155360 3.9237 3.7136 1.7083 0.5989 0.4145 0.5426 0.7158 0.7746 0.8256 0.5509
142 2.155545 3.9263 3.7187 1.7137 0.5929 0.4038 0.5361 0.7127 0.7737 0.8243 0.5440
143 2.155729 3.9288 3.7238 1.7192 0.5866 0.3929 0.5295 0.7094 0.7722 0.8229 0.5367
144 2.155905 3.9316 3.7284 1.7249 0.5800 0.3817 0.5229 0.7061 0.7705 0.8212 0.5291
145 2.156066 3.9340 3.7327 1.7308 0.5731 0.3700 0.5160 0.7028 0.7684 0.8190 0.5217
146 2.156166 3.9364 3.7349 1.7385 0.5620 0.3539 0.5049 0.6951 0.7614 0.8125 0.5097
147 2.156278 3.9421 3.7399 1.7563 0.5353 0.3153 0.4787 0.6767 0.7451 0.7969 0.4811
148 2.156468 3.9502 3.7480 1.7804 0.4985 0.2607 0.4421 0.6517 0.7223 0.7758 0.4416
149 2.156722 3.9535 3.7586 1.7828 0.5026 0.2576 0.4463 0.6599 0.7317 0.7860 0.4445
150 2.156843 3.9533 3.7630 1.7778 0.5138 0.2688 0.4574 0.6710 0.7428 0.7973 0.4557
151 2.156931 3.9524 3.7660 1.7713 0.5258 0.2814 0.4695 0.6823 0.7538 0.8081 0.4679
152 2.157008 3.9520 3.7710 1.7648 0.5387 0.2931 0.4828 0.6959 0.7666 0.8212 0.4810
153 2.157058 3.9534 3.7865 1.7549 0.5646 0.3128 0.5088 0.7251 0.7958 0.8509 0.5057
154 2.157100 3.9539 3.8045 1.7385 0.6029 0.3480 0.5468 0.7642 0.8356 0.8911 0.5437
155 2.157157 3.9524 3.8199 1.7174 0.6483 0.3946 0.5913 0.8077 0.8788 0.9342 0.5892
156 2.157250 3.9470 3.8181 1.6970 0.6818 0.4391 0.6250 0.8334 0.9023 0.9574 0.6243
157 2.157366 3.9396 3.7920 1.6945 0.6670 0.4381 0.6103 0.8094 0.8746 0.9289 0.6122
158 2.157418 3.9371 3.7776 1.6986 0.6464 0.4205 0.5897 0.7862 0.8494 0.9041 0.5921
159 2.157446 3.9350 3.7625 1.7051 0.6214 0.3975 0.5643 0.7588 0.8205 0.8754 0.5675
160 2.157460 3.9326 3.7437 1.7141 0.5905 0.3715 0.5332 0.7244 0.7849 0.8398 0.5376
161 2.157492 3.9289 3.7202 1.7232 0.5584 0.3489 0.5004 0.6859 0.7459 0.8002 0.5066
162 2.157480 3.9237 3.6869 1.7346 0.5143 0.3213 0.4537 0.6301 0.6906 0.7434 0.4643
163 2.157518 3.9169 3.6508 1.7437 0.4741 0.3041 0.4104 0.5751 0.6351 0.6867 0.4269
164 2.157619 3.9090 3.6132 1.7505 0.4404 0.2944 0.3754 0.5263 0.5845 0.6349 0.3965
165 2.157773 3.9012 3.5779 1.7548 0.4145 0.2907 0.3496 0.4863 0.5426 0.5918 0.3741
166 2.157968 3.8943 3.5468 1.7577 0.3946 0.2913 0.3299 0.4536 0.5086 0.5564 0.3572
167 2.158189 3.8881 3.5198 1.7598 0.3791 0.2939 0.3146 0.4267 0.4802 0.5270 0.3443
168 2.158432 3.8824 3.4962 1.7614 0.3661 0.2975 0.3019 0.4034 0.4561 0.5016 0.3338
169 2.158685 3.8776 3.4746 1.7631 0.3545 0.3011 0.2907 0.3826 0.4341 0.4786 0.3242
170 2.158952 3.8728 3.4544 1.7648 0.3432 0.3037 0.2799 0.3630 0.4135 0.4572 0.3154
171 2.159228 3.8684 3.4348 1.7665 0.3323 0.3054 0.2694 0.3442 0.3940 0.4365 0.3064
172 2.159514 3.8641 3.4154 1.7687 0.3217 0.3058 0.2592 0.3261 0.3750 0.4165 0.2974
173 2.159808 3.8596 3.3955 1.7710 0.3107 0.3066 0.2488 0.3079 0.3555 0.3958 0.2882
174 2.160100 3.8548 3.3743 1.7731 0.2995 0.3080 0.2384 0.2890 0.3356 0.3742 0.2792
175 2.160391 3.8496 3.3512 1.7754 0.2879 0.3112 0.2280 0.2692 0.3138 0.3511 0.2699
176 2.160680 3.8440 3.3265 1.7776 0.2762 0.3168 0.2174 0.2481 0.2905 0.3259 0.2611
177 2.160970 3.8379 3.3009 1.7795 0.2652 0.3241 0.2078 0.2277 0.2673 0.3008 0.2529
178 2.161258 3.8319 3.2749 1.7810 0.2551 0.3330 0.2001 0.2087 0.2452 0.2763 0.2464
179 2.161546 3.8257 3.2499 1.7820 0.2469 0.3437 0.1938 0.1920 0.2249 0.2537 0.2415
180 2.161829 3.8201 3.2269 1.7824 0.2410 0.3563 0.1901 0.1779 0.2077 0.2338 0.2388
181 2.162102 3.8149 3.2063 1.7817 0.2377 0.3704 0.1887 0.1670 0.1937 0.2172 0.2384
182 2.162412 3.8093 3.1836 1.7818 0.2325 0.3837 0.1852 0.1540 0.1769 0.1978 0.2362
183 2.162715 3.8036 3.1623 1.7806 0.2311 0.4015 0.1861 0.1448 0.1641 0.1822 0.2382
184 2.163004 3.7982 3.1447 1.7772 0.2349 0.4235 0.1919 0.1419 0.1572 0.1724 0.2454
185 2.163265 3.7934 3.1315 1.7712 0.2461 0.4512 0.2048 0.1468 0.1585 0.1714 0.2593
186 2.163498 3.7894 3.1257 1.7609 0.2686 0.4889 0.2290 0.1640 0.1727 0.1831 0.2846
187 2.163691 3.7859 3.1280 1.7446 0.3062 0.5392 0.2680 0.1971 0.2030 0.2114 0.3243
188 2.163857 3.7827 3.1368 1.7232 0.3570 0.6026 0.3198 0.2440 0.2472 0.2540 0.3774
189 2.163981 3.7803 3.1530 1.6969 0.4207 0.6762 0.3846 0.3042 0.3054 0.3110 0.4426
190 2.164059 3.7781 3.1782 1.6639 0.5021 0.7658 0.4666 0.3829 0.3825 0.3870 0.5252
191 2.164104 3.7766 3.2112 1.6238 0.6003 0.8716 0.5653 0.4788 0.4769 0.4805 0.6247
192 2.164118 3.7741 3.2494 1.5761 0.7181 0.9995 0.6839 0.5934 0.5897 0.5922 0.7439
193 2.164156 3.7708 3.2905 1.5211 0.8552 1.1517 0.8226 0.7261 0.7192 0.7200 0.8836
194 2.164266 3.7657 3.3285 1.4626 1.0011 1.3195 0.9712 0.8661 0.8545 0.8525 1.0331
195 2.164451 3.7593 3.3580 1.4078 1.1388 1.4844 1.1126 0.9967 0.9790 0.9737 1.1755
196 2.164733 3.7514 3.3694 1.3656 1.2460 1.6245 1.2246 1.0956 1.0706 1.0608 1.2885
197 2.165086 3.7437 3.3586 1.3453 1.3000 1.7127 1.2838 1.1414 1.1086 1.0945 1.3486
198 2.165370 3.7379 3.3401 1.3410 1.3144 1.7528 1.3021 1.1498 1.1107 1.0934 1.3676
199 2.165609 3.7335 3.3173 1.3457 1.3051 1.7632 1.2961 1.1358 1.0921 1.0725 1.3621
200 2.165815 3.7298 3.2953 1.3532 1.2886 1.7629 1.2824 1.1159 1.0680 1.0464 1.3486
201 2.166015 3.7264 3.2732 1.3622 1.2682 1.7566 1.2644 1.0920 1.0407 1.0175 1.3307
202 2.166234 3.7233 3.2512 1.3713 1.2476 1.7508 1.2463 1.0681 1.0136 0.9881 1.3129
203 2.166444 3.7207 3.2258 1.3863 1.2128 1.7278 1.2137 1.0307 0.9730 0.9465 1.2803
204 2.166634 3.7188 3.1990 1.4052 1.1676 1.6916 1.1702 0.9835 0.9234 0.8959 1.2367
205 2.166779 3.7173 3.1763 1.4232 1.1244 1.6542 1.1281 0.9393 0.8774 0.8494 1.1946
206 2.166922 3.7162 3.1555 1.4396 1.0842 1.6190 1.0889 0.8980 0.8349 0.8064 1.1553
207 2.167072 3.7154 3.1355 1.4551 1.0467 1.5864 1.0522 0.8593 0.7953 0.7658 1.1189
208 2.167227 3.7141 3.1157 1.4706 1.0093 1.5546 1.0157 0.8209 0.7554 0.7256 1.0824
209 2.167380 3.7131 3.0957 1.4861 0.9715 1.5219 0.9789 0.7821 0.7154 0.6849 1.0457
210 2.167525 3.7120 3.0753 1.5021 0.9327 1.4883 0.9409 0.7419 0.6740 0.6430 1.0077
211 2.167678 3.7107 3.0555 1.5175 0.8953 1.4564 0.9047 0.7036 0.6344 0.6027 0.9714
212 2.167833 3.7097 3.0356 1.5326 0.8586 1.4250 0.8688 0.6655 0.5950 0.5629 0.9358
213 2.167984 3.7085 3.0158 1.5481 0.8212 1.3932 0.8325 0.6269 0.5553 0.5223 0.8994
214 2.168133 3.7074 2.9955 1.5639 0.7834 1.3606 0.7958 0.5879 0.5149 0.4815 0.8624
215 2.168280 3.7061 2.9755 1.5796 0.7455 1.3280 0.7588 0.5488 0.4745 0.4403 0.8255
216 2.168425 3.7053 2.9554 1.5953 0.7073 1.2952 0.7220 0.5096 0.4339 0.3993 0.7884
217 2.168410 3.7053 2.9563 1.5944 0.7092 1.2968 0.7237 0.5116 0.4358 0.4011 0.7903
218 2.168393 3.7054 2.9573 1.5939 0.7110 1.2986 0.7255 0.5134 0.4377 0.4030 0.7920
219 2.168377 3.7054 2.9580 1.5931 0.7128 1.3001 0.7271 0.5155 0.4396 0.4051 0.7938
220 2.168361 3.7054 2.9590 1.5921 0.7147 1.3016 0.7291 0.5170 0.4416 0.4070 0.7957
221 2.168344 3.7055 2.9599 1.5915 0.7166 1.3034 0.7308 0.5190 0.4434 0.4090 0.7974
222 2.168328 3.7056 2.9609 1.5907 0.7182 1.3048 0.7325 0.5208 0.4452 0.4108 0.7990
223 2.168312 3.7054 2.9615 1.5900 0.7199 1.3063 0.7339 0.5225 0.4471 0.4126 0.8009
224 2.168296 3.7054 2.9625 1.5894 0.7216 1.3077 0.7355 0.5243 0.4490 0.4144 0.8024
225 2.168280 3.7054 2.9635 1.5886 0.7234 1.3093 0.7376 0.5260 0.4507 0.4163 0.8041
