#AGE= 1.500 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
57 1.302928 3.8303 4.2548 0.5690 3.3113 3.4267 3.2611 3.2534 3.2908 3.3224 3.3071
58 1.448505 3.8626 4.1701 0.8330 2.6940 2.7105 2.6356 2.6846 2.7395 2.7807 2.6731
59 1.456280 3.8638 4.1636 0.8466 2.6614 2.6746 2.6029 2.6543 2.7095 2.7509 2.6400
60 1.462800 3.8646 4.1577 0.8581 2.6342 2.6448 2.5755 2.6288 2.6840 2.7255 2.6124
61 1.469296 3.8654 4.1516 0.8688 2.6083 2.6168 2.5495 2.6042 2.6597 2.7011 2.5862
62 1.475575 3.8658 4.1453 0.8788 2.5840 2.5910 2.5251 2.5808 2.6363 2.6778 2.5617
63 1.481709 3.8661 4.1387 0.8884 2.5602 2.5664 2.5014 2.5579 2.6132 2.6548 2.5378
64 1.488347 3.8664 4.1316 0.8985 2.5351 2.5403 2.4763 2.5333 2.5887 2.6303 2.5126
65 1.496299 3.8667 4.1237 0.9103 2.5062 2.5102 2.4473 2.5051 2.5605 2.6022 2.4835
66 1.511175 3.8679 4.1123 0.9305 2.4569 2.4571 2.3979 2.4577 2.5136 2.5555 2.4337
67 1.531976 3.8698 4.0977 0.9582 2.3897 2.3838 2.3303 2.3936 2.4500 2.4927 2.3655
68 1.542273 3.8703 4.0884 0.9724 2.3547 2.3469 2.2952 2.3595 2.4161 2.4587 2.3302
69 1.549338 3.8703 4.0801 0.9827 2.3288 2.3207 2.2692 2.3339 2.3903 2.4329 2.3043
70 1.555484 3.8701 4.0721 0.9919 2.3054 2.2976 2.2460 2.3106 2.3667 2.4092 2.2810
71 1.560968 3.8698 4.0639 1.0004 2.2836 2.2765 2.2242 2.2886 2.3445 2.3867 2.2594
72 1.566098 3.8693 4.0555 1.0085 2.2627 2.2566 2.2034 2.2672 2.3227 2.3648 2.2387
73 1.571207 3.8689 4.0469 1.0166 2.2416 2.2370 2.1825 2.2456 2.3007 2.3426 2.2178
74 1.576274 3.8683 4.0379 1.0246 2.2205 2.2174 2.1615 2.2238 2.2784 2.3200 2.1970
75 1.581796 3.8676 4.0281 1.0331 2.1979 2.1968 2.1392 2.2004 2.2545 2.2959 2.1748
76 1.587688 3.8668 4.0176 1.0421 2.1742 2.1752 2.1156 2.1756 2.2292 2.2703 2.1515
77 1.594096 3.8660 4.0065 1.0516 2.1489 2.1521 2.0904 2.1492 2.2022 2.2431 2.1265
78 1.601045 3.8651 3.9946 1.0618 2.1218 2.1274 2.0635 2.1209 2.1733 2.2139 2.0998
79 1.608657 3.8640 3.9819 1.0726 2.0929 2.1011 2.0347 2.0906 2.1425 2.1827 2.0714
80 1.616568 3.8630 3.9685 1.0838 2.0631 2.0742 2.0051 2.0594 2.1106 2.1505 2.0421
81 1.624585 3.8618 3.9548 1.0949 2.0333 2.0477 1.9756 2.0280 2.0785 2.1181 2.0130
82 1.629213 3.8610 3.9466 1.1012 2.0163 2.0328 1.9588 2.0098 2.0600 2.0993 1.9963
83 1.633765 3.8602 3.9385 1.1072 1.9997 2.0184 1.9423 1.9921 2.0418 2.0809 1.9801
84 1.638135 3.8594 3.9306 1.1130 1.9838 2.0048 1.9266 1.9750 2.0243 2.0632 1.9646
85 1.642289 3.8585 3.9226 1.1186 1.9687 1.9921 1.9116 1.9585 2.0074 2.0459 1.9498
86 1.646378 3.8575 3.9146 1.1239 1.9538 1.9798 1.8968 1.9423 1.9907 2.0289 1.9354
87 1.650464 3.8566 3.9065 1.1292 1.9388 1.9676 1.8822 1.9261 1.9739 2.0118 1.9210
88 1.654563 3.8556 3.8982 1.1346 1.9240 1.9557 1.8675 1.9097 1.9570 1.9947 1.9066
