#AGE= 2.250 EEPS=273
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
5 0.109102 3.5081 5.2846 -2.8232 12.2690 14.5203 13.2814 11.9597 11.3787 11.1228 12.8298
6 0.124819 3.5081 5.2218 -2.7017 11.9644 14.2075 12.9727 11.6555 11.0756 10.8189 12.5240
7 0.148968 3.5090 5.1487 -2.5486 11.5770 13.8001 12.5714 11.2681 10.6921 10.4360 12.1318
8 0.197117 3.5159 5.0744 -2.3247 10.9903 13.1197 11.9102 10.6791 10.1260 9.8798 11.5175
9 0.244504 3.5230 5.0266 -2.1550 10.5460 12.5922 11.4036 10.2335 9.7024 9.4619 11.0489
10 0.287949 3.5291 4.9923 -2.0253 10.2056 12.1854 11.0132 9.8923 9.3793 9.1443 10.6886
11 0.305961 3.5316 4.9761 -1.9726 10.0665 12.0200 10.8536 9.7528 9.2480 9.0155 10.5410
12 0.313626 3.5326 4.9662 -1.9480 10.0024 11.9455 10.7817 9.6885 9.1869 8.9553 10.4737
13 0.318708 3.5333 4.9583 -1.9305 9.9570 11.8934 10.7314 9.6432 9.1434 8.9124 10.4264
14 0.322637 3.5337 4.9513 -1.9163 9.9207 11.8522 10.6917 9.6067 9.1083 8.8776 10.3886
15 0.326143 3.5342 4.9456 -1.9042 9.8893 11.8162 10.6571 9.5753 9.0780 8.8477 10.3559
16 0.330347 3.5347 4.9397 -1.8907 9.8545 11.7760 10.6187 9.5404 9.0445 8.8146 10.3195
17 0.337093 3.5355 4.9326 -1.8715 9.8047 11.7177 10.5632 9.4906 8.9968 8.7677 10.2673
18 0.353060 3.5378 4.9216 -1.8322 9.7011 11.5918 10.4445 9.3861 8.8984 8.6716 10.1573
19 0.378817 3.5421 4.9024 -1.7672 9.5288 11.3807 10.2464 9.2112 8.7359 8.5145 9.9727
20 0.399119 3.5461 4.8832 -1.7106 9.3774 11.1967 10.0707 9.0565 8.5945 8.3795 9.8092
21 0.459102 3.5592 4.8268 -1.5367 8.9068 10.6171 9.5091 8.5838 8.1668 7.9688 9.2971
22 0.470927 3.5625 4.8142 -1.5005 8.8084 10.4935 9.3880 8.4837 8.0785 7.8853 9.1880
23 0.485330 3.5666 4.7990 -1.4555 8.6849 10.3378 9.2355 8.3597 7.9693 7.7817 9.0514
24 0.495445 3.5698 4.7873 -1.4217 8.5906 10.2166 9.1147 8.2665 7.8884 7.7049 8.9458
25 0.501525 3.5717 4.7792 -1.4003 8.5297 10.1388 9.0359 8.2079 7.8375 7.6561 8.8778
26 0.505227 3.5726 4.7734 -1.3871 8.4950 10.0995 8.9978 8.1754 7.8078 7.6257 8.8417
27 0.508499 3.5731 4.7681 -1.3757 8.4729 10.0812 8.9843 8.1542 7.7845 7.5997 8.8227
28 0.513546 3.5743 4.7614 -1.3590 8.4372 10.0417 8.9525 8.1169 7.7457 7.5600 8.7880
29 0.520917 3.5766 4.7529 -1.3345 8.3761 9.9639 8.8778 8.0535 7.6872 7.5036 8.7211
30 0.531759 3.5806 4.7426 -1.2989 8.2783 9.8338 8.7470 7.9541 7.6018 7.4235 8.6095
31 0.547271 3.5870 4.7302 -1.2491 8.1347 9.6391 8.5519 7.8106 7.4822 7.3125 8.4437
32 0.568782 3.5963 4.7150 -1.1805 7.9320 9.3609 8.2771 7.6112 7.3183 7.1609 8.2095
33 0.595656 3.6085 4.6981 -1.0955 7.6770 9.0083 7.9356 7.3644 7.1173 6.9751 7.9157
34 0.704970 3.6580 4.6513 -0.7859 6.7523 7.7064 6.8367 6.4951 6.3599 6.2739 6.8946
35 0.724616 3.6675 4.6417 -0.7257 6.5823 7.4659 6.6434 6.3351 6.2169 6.1392 6.7097
36 0.745315 3.6783 4.6336 -0.6615 6.3981 7.1997 6.4373 6.1633 6.0621 5.9943 6.5101
37 0.768158 3.6901 4.6254 -0.5918 6.1979 6.9128 6.2199 5.9774 5.8913 5.8348 6.2952
38 0.798930 3.7055 4.6140 -0.5005 5.9421 6.5584 5.9487 5.7393 5.6704 5.6278 6.0232
39 0.883914 3.7414 4.5721 -0.2677 5.3357 5.7798 5.3178 5.1708 5.1382 5.1224 5.3869
40 0.900390 3.7469 4.5616 -0.2278 5.2359 5.6570 5.2153 5.0770 5.0493 5.0370 5.2832
41 0.913258 3.7509 4.5527 -0.1970 5.1588 5.5628 5.1362 5.0042 4.9803 4.9704 5.2032
42 0.923320 3.7540 4.5457 -0.1734 5.0992 5.4898 5.0750 4.9480 4.9270 4.9190 5.1413
43 0.936415 3.7580 4.5361 -0.1415 5.0198 5.3938 4.9938 4.8731 4.8558 4.8502 5.0592
44 0.949994 3.7620 4.5255 -0.1087 4.9393 5.2973 4.9113 4.7969 4.7831 4.7800 4.9758
45 0.963274 3.7657 4.5146 -0.0770 4.8617 5.2052 4.8322 4.7235 4.7129 4.7119 4.8959
46 0.975697 3.7690 4.5038 -0.0475 4.7898 5.1206 4.7589 4.6552 4.6475 4.6484 4.8218
47 0.988011 3.7722 4.4931 -0.0184 4.7192 5.0378 4.6870 4.5882 4.5832 4.5859 4.7490
48 1.001743 3.7757 4.4811 0.0135 4.6417 4.9470 4.6082 4.5147 4.5127 4.5172 4.6693
49 1.023314 3.7810 4.4614 0.0632 4.5211 4.8066 4.4856 4.4001 4.4026 4.4101 4.5454
50 1.041218 3.7851 4.4447 0.1038 4.4231 4.6933 4.3863 4.3069 4.3127 4.3225 4.4448
51 1.051844 3.7875 4.4338 0.1288 4.3629 4.6243 4.3251 4.2496 4.2574 4.2684 4.3831
52 1.057232 3.7888 4.4282 0.1419 4.3317 4.5887 4.2935 4.2199 4.2286 4.2404 4.3511
53 1.042430 3.7871 4.4415 0.1169 4.3941 4.6593 4.3567 4.2801 4.2872 4.2984 4.4149
54 1.131497 3.8025 4.3574 0.2949 3.9626 4.1705 3.9202 3.8681 3.8869 3.9057 3.9739
55 1.142249 3.8042 4.3464 0.3168 3.9098 4.1116 3.8669 3.8175 3.8374 3.8572 3.9201
56 1.151389 3.8058 4.3373 0.3355 3.8648 4.0613 3.8215 3.7745 3.7956 3.8161 3.8742
57 1.158866 3.8070 4.3294 0.3512 3.8270 4.0191 3.7833 3.7382 3.7603 3.7814 3.8356
58 1.166016 3.8082 4.3220 0.3661 3.7911 3.9791 3.7471 3.7039 3.7268 3.7486 3.7991
59 1.172442 3.8093 4.3150 0.3797 3.7585 3.9429 3.7141 3.6725 3.6961 3.7184 3.7659
60 1.178784 3.8102 4.3081 0.3930 3.7264 3.9075 3.6818 3.6418 3.6661 3.6888 3.7333
61 1.185081 3.8112 4.3010 0.4060 3.6949 3.8728 3.6499 3.6114 3.6363 3.6595 3.7012
62 1.191540 3.8121 4.2939 0.4193 3.6629 3.8377 3.6177 3.5807 3.6062 3.6298 3.6687
63 1.198333 3.8130 4.2867 0.4328 3.6302 3.8017 3.5847 3.5491 3.5753 3.5994 3.6354
64 1.205285 3.8139 4.2795 0.4463 3.5977 3.7660 3.5519 3.5178 3.5447 3.5692 3.6023
65 1.212209 3.8150 4.2728 0.4595 3.5658 3.7306 3.5197 3.4872 3.5149 3.5398 3.5699
66 1.219006 3.8159 4.2663 0.4722 3.5351 3.6968 3.4888 3.4578 3.4861 3.5114 3.5388
67 1.225654 3.8169 4.2601 0.4846 3.5053 3.6637 3.4586 3.4293 3.4582 3.4840 3.5083
68 1.231907 3.8176 4.2538 0.4961 3.4775 3.6334 3.4307 3.4025 3.4319 3.4581 3.4801
69 1.237809 3.8182 4.2477 0.5068 3.4514 3.6051 3.4044 3.3774 3.4071 3.4335 3.4537
70 1.243511 3.8188 4.2412 0.5171 3.4262 3.5781 3.3790 3.3527 3.3828 3.4094 3.4281
71 1.249139 3.8191 4.2344 0.5273 3.4012 3.5520 3.3539 3.3283 3.3586 3.3853 3.4030
72 1.254589 3.8194 4.2276 0.5372 3.3766 3.5263 3.3293 3.3042 3.3347 3.3616 3.3783
73 1.259939 3.8197 4.2205 0.5469 3.3526 3.5016 3.3052 3.2805 3.3111 3.3381 3.3541
74 1.265296 3.8199 4.2137 0.5567 3.3285 3.4766 3.2810 3.2567 3.2875 3.3146 3.3299
75 1.270632 3.8202 4.2066 0.5665 3.3046 3.4518 3.2570 3.2331 3.2639 3.2911 3.3057
76 1.276666 3.8206 4.1995 0.5772 3.2779 3.4238 3.2301 3.2071 3.2382 3.2655 3.2789
77 1.284883 3.8214 4.1908 0.5919 3.2423 3.3856 3.1942 3.1724 3.2040 3.2318 3.2428
78 1.339517 3.8306 4.1392 0.7003 2.9827 3.0969 2.9320 2.9259 2.9632 2.9943 2.9783
79 1.344308 3.8304 4.1316 0.7086 2.9616 3.0763 2.9110 2.9047 2.9418 2.9728 2.9573
80 1.350672 3.8304 4.1230 0.7191 2.9352 3.0500 2.8846 2.8784 2.9154 2.9463 2.9309
