raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
114.5759041,21.7512008,0.042,0.041,21.753,0.19,21.837,0.056,21.448,0.129,20.198,0.197
114.5759583,21.5350403,0.055,0.193,12.977,-999,12.329,-999,12.083,-999,11.963,-999
114.5759974,21.571865,0.006,0.009,19.137,0.008,18.407,0.003,18.114,0.005,18.04,0.003
114.5762192,21.6127658,0.009,0.012,21.847,0.049,20.521,0.015,19.737,0.014,19.506,0.043
114.5762695,21.2582148,0.01,0.012,21.211,0.036,20.049,0.011,19.338,0.007,19.035,0.024
114.5764463,21.5829503,0.047,0.017,17.185,0.002,16.75,0.035,16.644,0.006,16.614,0.004
114.5765376,21.3785308,0.005,0.006,19.306,0.015,19.084,0.006,19.008,0.011,18.986,0.019
114.5767318,21.835237,0.007,0.006,17.6,0.004,17.174,0.002,17.013,0.000601,16.976,0.004
114.5767363,21.7399739,0.033,0.014,21.998,0.172,20.7,0.038,19.656,0.016,19.223,0.027
114.5767438,21.7037934,0.004,0.002,18.253,0.003,17.674,0.002,17.472,0.003,17.402,0.004
114.5767456,21.3379701,0.01,0.015,21.332,0.049,20.06,0.007,19.255,0.036,18.923,0.03
114.5767689,21.777074,0.022,0.02,21.698,0.048,21.218,0.039,20.988,0.033,20.672,0.028
114.5769066,21.5183198,0.015,0.007,21.031,0.039,19.842,0.008,19.142,0.022,18.813,0.042
114.5769618,21.603264,0.005,0.002,21.526,0.048,20.268,0.014,19.481,0.012,19.157,0.017
114.5770169,21.4180504,0.008,0.003,20.254,0.018,19.326,0.006,18.944,0.012,18.728,0.012
114.5770191,21.8206633,0.02,0.017,21.395,0.062,21.169,0.035,20.708,0.021,20.379,0.116
114.5773186,21.3035096,0.009,0.008,21.707,0.075,20.354,0.012,19.462,0.023,19.077,0.026
114.5773392,21.6915148,0.004,0.002,20.642,0.026,19.478,0.005,18.968,0.007,18.739,0.022
114.5773536,21.5245317,0.003,0.007,19.377,0.02,18.576,0.005,18.258,0.006,18.159,0.007
114.5773633,21.6316719,0.032,0.016,21.58,0.138,20.575,0.016,19.908,0.016,19.586,0.033
114.5773734,21.563408,0.011,0.009,16.264,0.003,15.992,0.001,15.909,0.004,15.912,0.002
114.5774183,21.3610571,0.023,0.001,21.817,0.07,20.791,0.021,19.701,0.016,19.185,0.038
114.5774931,21.6624556,0.009,0.009,19.845,0.025,18.935,0.004,18.57,0.005,18.404,0.016
114.5774985,21.6522984,0.004,0.003,20.797,0.023,19.685,0.01,19.165,0.013,18.872,0.017
114.577511,21.6273992,0.006,0.005,21.457,0.027,20.184,0.011,19.397,0.016,19.07,0.012
114.5775364,21.5826968,0.006,0.009,14.039,0.002,14.158,0.001,13.77,0.001,13.725,0.002
114.5777319,21.4890036,0.005,0.005,20.715,0.021,19.536,0.008,18.8,0.008,18.437,0.009
114.5778303,21.5577319,0.011,0.014,20.292,0.026,19.095,0.006,18.581,0.005,18.336,0.019
114.5779011,21.6076226,0.013,0.013,22.131,0.202,21.063,0.033,20.257,0.04,19.923,0.052
114.5779994,21.5738638,0.007,0.002,20.551,0.027,19.469,0.017,18.996,0.007,18.81,0.014
114.5780478,21.5592307,0.004,0.004,18.195,0.009,17.548,0.014,17.267,0.019,17.189,0.006
114.5781671,21.4129253,0.008,0.003,20.808,0.013,19.944,0.016,19.592,0.015,19.419,0.046
114.5781891,21.5599639,0.002,0.002,15.312,0.003,15.103,0.002,15.046,0.003,15.067,0.003
114.5782325,21.2575415,0.003,0.004,16.237,0.003,15.834,0.001,15.714,0.003,15.698,0.004
114.5782512,21.7072144,0.003,0.014,19.431,0.01,18.364,0.004,17.889,0.006,17.674,0.01
114.5782644,21.6453158,0.009,0.008,21.246,0.037,20.015,0.013,19.44,0.011,19.235,0.022
114.5782817,21.592564,0.006,0.01,15.123,0.003,14.935,0.000966,14.891,0.002,14.926,0.003
114.5782885,21.5879578,0.014,0.008,21.472,0.098,20.231,0.018,19.65,0.011,19.419,0.046
114.5783311,21.3584925,0.012,0.032,20.823,0.032,19.706,0.007,19.187,0.012,18.966,0.03
114.578339,21.6131604,0.015,0.014,22.378,0.195,21.177,0.029,20.4,0.058,20.07,0.033
114.5783408,21.5725561,0.009,0.019,20.074,0.018,19.123,0.006,18.71,0.006,18.539,0.02
114.5783462,21.5477807,0.003,0.006,20.881,0.027,19.656,0.01,18.805,0.011,18.434,0.017
114.5783669,21.87216,0.004,0.005,19.305,0.01,18.518,0.003,18.192,0.006,18.059,0.014
114.5784615,21.6853785,0.016,0.024,21.83,0.065,20.811,0.043,20.29,0.03,19.951,0.036
114.5784999,21.3133363,0.023,0.023,22.359,0.022,21.378,0.021,21.042,0.087,20.857,0.053
114.578518,21.7649133,0.015,0.005,21.362,0.042,20.162,0.009,19.373,0.018,18.982,0.019
114.5785311,21.5419617,0.007,0.004,17.525,0.005,17.103,0.003,16.945,0.002,16.919,0.004
114.5785564,21.8432898,0.029,0.021,22.056,0.177,21.56,0.03,20.908,0.063,20.6,0.053
114.5786298,21.2430243,0.004,0.013,20.115,0.022,19.269,0.01,18.947,0.016,18.836,0.014
114.5786742,21.6485401,0.005,0.002,16.269,0.003,15.998,0.003,15.927,0.003,15.918,0.005
114.578722,21.3723144,0.015,0.005,19.78,0.015,18.548,0.01,17.663,0.005,17.269,0.003
114.578799,21.5715904,0.011,0.01,18.493,0.006,17.912,0.004,17.678,0.004,17.612,0.008
114.5788469,21.3792816,0.009,0.012,20.562,0.026,20.001,0.01,19.745,0.024,19.629,0.074
114.5789144,21.6528006,0.005,0.008,19.14,0.008,18.573,0.005,18.352,0.007,18.253,0.013
114.5790569,21.6065229,0.007,0.006,21.302,0.045,20.022,0.011,19.407,0.013,19.063,0.012
114.5790835,21.4442109,0.01,0.009,21.62,0.05,20.444,0.012,19.843,0.019,19.462,0.033
114.5791498,21.2701724,0.032,0.036,21.779,0.146,21.509,0.036,21.257,0.05,20.802,0.091
114.5791926,21.5800792,0.031,0.04,15.16,0.005,14.953,0.001,14.911,0.003,14.933,0.003
114.5794157,21.3615436,0.017,0.016,21.761,0.034,21.114,0.035,20.78,0.023,20.684,0.043
114.5795698,21.6883017,0.018,0.017,22.504,0.189,21.47,0.02,20.782,0.022,20.458,0.043
114.5795851,21.5793074,0.017,0.023,13.411,-999,13.494,-999,14.068,0.001,14.079,0.003
114.5798393,21.4067163,0.014,0.008,20.156,0.012,19.193,0.005,18.754,0.006,18.585,0.01
114.5799425,21.5585258,0.003,0.006,19.029,0.008,18.136,0.002,17.77,0.008,17.607,0.007
114.5799561,21.4571943,0.021,0.003,20.939,0.054,20.152,0.011,19.91,0.042,19.782,0.077
114.5799599,21.8197511,0.023,0.023,21.835,0.03,21.539,0.044,21.293,0.034,20.784,0.131
114.5799945,21.4264764,0.014,0.00093,18.686,0.009,17.865,0.003,17.506,0.007,17.345,0.005
114.5800553,21.3313983,0.018,0.011,21.596,0.099,20.646,0.039,20.059,0.052,19.92,0.059
114.5802336,21.5165977,0.041,0.04,22.293,0.076,22.047,0.032,21.674,0.029,21.009,0.131
114.5802461,21.5953818,0.01,0.013,20.604,0.014,19.372,0.006,18.779,0.011,18.496,0.023
114.5802791,21.6572623,0.014,0.013,21.47,0.033,20.441,0.027,20.023,0.025,19.632,0.056
114.5803344,21.8735063,0.008,0.002,17.104,0.004,16.424,0.002,16.146,0.002,16.025,0.003
114.580432,21.7282699,0.02,0.004,21.369,0.044,20.164,0.013,19.482,0.014,19.085,0.014
114.5804536,21.5894453,0.006,0.002,14.041,0.003,13.865,0.009,13.769,0.002,13.789,0.003
114.5804681,21.2716771,0.011,0.009,20.882,0.032,20.297,0.019,20.125,0.023,20.039,0.042
