raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
114.2445148,21.5853176,0.007,0.002,16.002,0.002,15.479,0.001,15.323,0.004,15.286,0.004
114.244907,21.5733451,0.005,0.002,17.931,0.004,17.777,0.004,17.761,0.004,17.813,0.012
114.2451844,21.5868464,0.006,0.004,17.36,0.003,16.979,0.003,16.85,0.005,16.831,0.006
114.2462297,21.5845025,0.004,0.011,14.473,0.002,14.076,0.002,13.92,0.006,13.888,0.003
114.2462932,21.5609042,0.023,0.026,19.69,0.028,19.633,0.049,19.165,0.117,19.279,0.08
114.2466768,21.6284326,0.063,0.066,21.963,0.419,21.349,0.05,21.262,0.044,20.389,0
114.2475522,21.6327053,0.002,0.004,18.796,0.005,18.165,0.003,17.941,0.005,17.879,0.005
114.247681,21.516878,0.012,0.012,22.07,0.209,20.987,0.021,20.214,0.008,19.924,0.067
114.2483611,21.5100989,0.04,0.031,22.117,0.084,21.797,0.042,21.421,0.042,21.54,0.193
114.2496378,21.5810372,0.003,0.005,19.255,0.009,18.005,0.002,16.915,0.003,16.432,0.006
114.2498128,21.629717,0.005,0.004,14.725,0.001,14.244,0.004,14.054,0.004,13.998,0.003
114.2499184,21.5791338,0.003,0.001,18.704,0.003,18.067,0.004,17.821,0.004,17.711,0.016
114.2500089,21.573981,0.011,0.006,13.758,0.003,13.674,0.002,13.716,0.001,13.716,0.002
114.2501638,21.5023788,0.06,0.04,21.993,0.233,22.344,0.123,21.251,0.132,20.55,0.164
114.2504024,21.5069916,0.008,0.014,19.469,0.01,18.68,0.012,18.342,0.012,18.124,0.01
114.2507594,21.6483112,0.004,0.007,19.579,0.01,18.941,0.006,18.652,0.008,18.553,0.01
114.2514769,21.6510753,0.046,0.031,21.755,0.136,21.097,0.048,20.773,0.09,20.513,0.159
114.2518731,21.5870365,0.014,0.015,21.548,0.053,20.716,0.021,20.462,0.03,20.292,0.016
114.2520758,21.5081664,0.002,0.003,14.881,0.002,14.302,0.001,14.095,0.009,13.986,0.001
114.2524952,21.5114165,0.025,0.021,21.723,0.049,21.349,0.036,21.214,0.045,20.911,0.089
114.252738,21.5659973,0.009,0.015,21.73,0.045,20.722,0.017,20.039,0.021,19.633,0.04
114.2533377,21.5949902,0.006,0.001,17.573,0.004,16.721,0.003,16.323,0.004,16.138,0.002
114.2545814,21.5666066,0.02,0.02,22.464,0.17,21.538,0.033,20.933,0.048,20.575,0.049
114.2565408,21.5207202,0.009,0.011,21.955,0.202,21.05,0.017,19.801,0.018,19.2,0.028
114.2566339,21.4872731,0.009,0.019,20.26,0.04,19.284,0.012,19.005,0.000282,18.58,0.028
114.2569665,21.5684562,0.016,0.023,21.685,0.052,21.073,0.017,20.75,0.067,20.465,0.078
114.2575276,21.5929913,0.005,0.002,19.66,0.016,18.435,0.006,17.772,0.004,17.476,0.008
114.2579869,21.6416845,0.009,0.029,21.715,0.063,20.532,0.011,19.806,0.012,19.481,0.002
114.2587814,21.5693855,0.009,0.009,22.416,0.159,21.021,0.024,19.842,0.01,19.268,0.009
114.2595614,21.6649143,0.011,0.011,21.148,0.032,20.803,0.026,20.637,0.045,20.681,0.053
114.2598327,21.6174208,0.03,0.031,21.845,0.14,21.402,0.079,21.307,0.074,20.719,0.064
114.2599255,21.6051797,0.007,0.003,19.817,0.025,19.391,0.011,19.224,0.009,19.192,0.023
114.2600321,21.6349725,0.014,0.015,22.221,0.146,21.117,0.024,20.35,0.034,20.045,0.034
114.2601104,21.6814209,0.016,0.017,21.745,0.14,20.738,0.018,19.392,0.017,18.831,0.017
114.260593,21.6118677,0.02,0.026,21.408,0.068,20.751,0.073,20.05,0.056,19.844,0.065
114.2610188,21.6795289,0.004,0.003,16.158,0.002,15.37,0.001,15.051,0.002,14.917,0.003
114.2610883,21.6414685,0.005,0.014,20.15,0.011,19.668,0.008,19.456,0.009,19.412,0.014
114.2612276,21.6744072,0.002,0.003,17.235,0.003,16.702,0.003,16.47,0.003,16.386,0.004
114.2614788,21.5119516,0.024,0.027,21.736,0.13,21.058,0.045,20.776,0.037,20.374,0.101
114.2615062,21.5084973,0.009,0.007,20.688,0.03,19.823,0.024,19.566,0.024,19.433,0.021
114.2618938,21.6807015,0.002,0.002,18.926,0.009,17.672,0.004,16.73,0.004,16.301,0.003
114.2619555,21.532824,0.01,0.014,21.572,0.139,21.209,0.038,19.841,0.019,19.274,0.025
114.2625039,21.675724,0.013,0.005,21.053,0.023,19.863,0.008,18.582,0.008,17.995,0.014
114.2627542,21.6599275,0.018,0.018,20.56,0.013,20.066,0.014,19.808,0.017,19.715,0.047
114.2629728,21.5762737,0.043,0.051,22.417,0.046,21.859,0.05,21.644,0.051,21.588,0.196
114.2633221,21.5571336,0.008,0.002,19.71,0.007,19.077,0.007,18.834,0.007,18.735,0.018
114.2636081,21.5645866,0.011,0.01,21.912,0.053,20.996,0.026,20.019,0.026,19.666,0.01
114.2647048,21.5729035,0.018,0.018,21.835,0.044,21.283,0.03,21.055,0.042,20.832,0.073
114.2652812,21.5591505,0.004,0.001,17.672,0.005,17.256,0.003,17.122,0.004,17.087,0.007
114.2654638,21.6473718,0.024,0.027,22.404,0.011,21.651,0.037,21.329,0.05,21.12,0.21
114.2655992,21.639908,0.012,0.024,21.373,0.039,20.157,0.008,19.092,0.011,18.602,0.009
114.2656195,21.603583,0.005,0.009,19.833,0.015,18.63,0.004,17.623,0.002,17.161,0.008
114.2656353,21.5893181,0.003,0.004,18.162,0.004,17.476,0.002,17.198,0.004,17.089,0.004
114.2663489,21.6446661,0.026,0.026,22.334,0.153,21.735,0.035,21.403,0.054,21.429,0.167
114.2666621,21.6673487,0.006,0.002,19.343,0.009,18.712,0.007,18.416,0.008,18.299,0.017
114.267312,21.686505,0.008,0.008,19.8,0.013,18.57,0.004,17.749,0.003,17.377,0.009
114.2675372,21.5393709,0.006,0.009,15.787,0.003,15.214,0.002,14.969,0.001,14.877,0.000353
114.267694,21.7001366,0.005,0.014,19.752,0.015,19.485,0.01,19.425,0.015,19.419,0.028
114.2678828,21.4539569,0.014,0.01,20.289,0.054,19.969,0.026,19.487,0.115,19.5,0.047
114.2682854,21.6926439,0.003,0.007,19.369,0.009,19.093,0.007,19.02,0.01,18.991,0.022
114.2684566,21.4584307,0.024,0.057,21.956,0.192,21.276,0.034,20.946,0.032,20.533,0.073
114.2690147,21.5463213,0.008,0.008,21.198,0.056,20.167,0.012,19.81,0.008,19.585,0.06
114.2692777,21.6188214,0.002,0.003,17.36,0.004,16.976,0.005,16.84,0.003,16.8,0.006
114.2693991,21.6111743,0.003,0.004,18.288,0.005,18.154,0.006,18.157,0.004,18.216,0.01
114.2694888,21.6670112,0.007,0.005,17.914,0.003,17.416,0.002,17.234,0.004,17.195,0.008
114.2695693,21.6246021,0.052,0.058,22.122,0.089,21.738,0.08,21.525,0.009,20.674,0.019
114.2698704,21.5364083,0.005,0.01,17.705,0.006,16.515,0.002,15.491,0.003,15.039,0.003
114.2701785,21.6343008,0.005,0.007,16.221,0.002,15.555,0.002,15.3,0.002,15.205,0.004
114.2704232,21.5635776,0.016,0.039,21.817,0.047,20.607,0.016,19.834,0.015,19.517,0.034
114.2709615,21.6071028,0.018,0.018,21.822,0.055,21.188,0.019,20.953,0.013,20.646,0.022
114.2710735,21.4695513,0.019,0.019,21.904,0.103,21.284,0.024,21.066,0.052,21.03,0.128
114.2711115,21.6134286,0.002,0.003,16.246,0.002,15.631,0.003,15.383,0.002,15.272,0.003
114.271366,21.6483633,0.019,0.015,22.546,0.165,21.797,0.066,20.519,0.017,19.99,0.016
114.2715728,21.452977,0.005,0.059,15.054,0.002,14.812,0.000717,14.757,0.001,14.766,0.005
114.2716792,21.533289,0.012,0.016,21.02,0.033,19.752,0.009,18.528,0.006,17.956,0.009
114.2724869,21.5523161,0.002,0.001,16.527,0.003,16.183,0.002,16.062,0.002,16.053,0.004
114.2726792,21.5503087,0.005,0.006,19.884,0.012,18.937,0.007,18.545,0.004,18.402,0.017
114.2729376,21.6618375,0.015,0.015,22.114,0.143,21.299,0.017,20.661,0.023,20.551,0.047
114.2730198,21.6491795,0.049,0.029,21.846,0.086,21.426,0.02,21.314,0.036,21.004,0.109
114.2733616,21.6642088,0.029,0.023,21.748,0.066,21.395,0.039,21.179,0.058,20.669,0.248
114.2734517,21.6276727,0.004,0.018,20.442,0.021,19.296,0.01,18.766,0.007,18.523,0.009
114.2734596,21.463542,0.003,0.006,18.867,0.008,18.515,0.003,18.404,0.006,18.381,0.006
114.2741976,21.589046,0.018,0.004,18.119,0.005,17.718,0.003,17.551,0.008,17.501,0.011
114.2742329,21.6925625,0.018,0.024,13.403,0.001,13.243,-999,13.071,-999,12.996,-999
114.2742413,21.6026081,0.015,0.015,22.136,0.061,21.404,0.05,20.332,0.017,19.933,0.039
114.2742629,21.59453,0.004,0.012,20.416,0.029,19.356,0.004,18.867,0.013,18.645,0.015
114.2748959,21.6093423,0.011,0.011,21.672,0.054,20.683,0.028,20.213,0.017,20.077,0.026
114.2749804,21.4655832,0.003,0.042,16.27,0.002,15.726,0.001,15.496,0.002,15.401,0.006
114.2750387,21.6470851,0.011,0.01,22.055,0.092,21.044,0.021,19.98,0.029,19.562,0.022
114.2754637,21.6773749,0.02,0.006,16.146,0.002,15.763,0.002,15.637,0.002,15.611,0.004
114.2755954,21.5922519,0.012,0.012,21.489,0.056,20.59,0.023,20.178,0.025,20.005,0.071
114.2759784,21.5210844,0.022,0.003,16.71,0.003,16.22,0.002,16.015,0.002,15.966,0.000493
114.2760274,21.6023864,0.004,0.019,21.086,0.029,19.993,0.024,19.413,0.009,19.181,0.02
114.2762599,21.5576585,0.002,0.003,15.529,0.002,15.003,0.001,14.814,0.003,14.75,0.000948
114.2764097,21.5726198,0.04,0.04,21.584,0.166,21.994,0.091,21.304,0.121,20.076,0
114.2765473,21.6248106,0.002,0.001,17.747,0.004,17.075,0.004,16.828,0.003,16.727,0.007
114.2772708,21.4446839,0.011,0.015,20.387,0.032,19.657,0.007,19.357,0.008,19.288,0.016
114.2774453,21.6793831,0.007,0.014,20.905,0.035,20.042,0.024,19.615,0.012,19.236,0.072
114.2779331,21.6456056,0.003,0.004,18.643,0.009,17.839,0.004,17.498,0.004,17.349,0.011
114.2783439,21.6513587,0.011,0.011,21.083,0.023,20.823,0.018,20.768,0.032,20.624,0.012
114.2783507,21.6643731,0.033,0.008,21.705,0.059,20.636,0.036,19.566,0.011,19.069,0.022
114.2783627,21.6177479,0.031,0.029,22.269,0.16,21.708,0.038,21.115,0.046,20.691,0.039
114.2788622,21.5181138,0.003,0.004,19.662,0.016,18.49,0.008,17.604,0.003,17.165,0.017
114.2788647,21.6355297,0.011,0.011,21.024,0.026,20.697,0.016,20.528,0.03,20.524,0.042
114.2790665,21.4878125,0.013,0.012,21.002,0.029,20.489,0.018,20.325,0.025,20.348,0.062
114.2791866,21.5379847,0.005,0.011,17.191,0.005,16.707,0.002,16.504,0.003,16.439,0.005
114.2792891,21.5025834,0.009,0.021,15.465,0.005,15.091,0.00077,14.963,0.003,14.941,0.006
114.2795783,21.5463677,0.008,0.008,21.772,0.102,20.757,0.024,19.749,0.012,19.294,0.017
114.2795941,21.6986656,0.008,0.003,16.966,0.004,16.515,0.003,16.349,0.003,16.309,0.006
114.2799174,21.4798423,0.016,0.016,22.463,0.194,21.523,0.039,20.44,0.02,19.893,0.042
114.279931,21.598388,0.013,0.011,22.102,0.118,21.283,0.043,19.91,0.016,19.283,0.066
114.2803983,21.4519131,0.029,0.032,22.349,0.173,21.695,0.1,21.591,0.049,21.01,0.096
114.2806005,21.6263938,0.006,0.011,19.86,0.015,18.775,0.01,17.456,0.005,16.895,0.005
114.2807627,21.4390123,0.024,0.025,22.226,0.158,21.317,0.031,21.066,0.058,20.529,0.129
114.2810531,21.6772654,0.008,0.009,17.025,0.003,16.54,0.002,16.361,0.001,16.317,0.004
114.2815435,21.5714758,0.056,0.083,21.847,0.178,21.839,0.031,21.106,0.169,20.556,0.151
114.2817477,21.585122,0.083,0.094,21.935,0.08,21.881,0.012,21.356,0.165,20.796,0.169
114.2817919,21.6467667,0.004,0.021,21.645,0.033,20.561,0.017,19.047,0.007,18.361,0.013
114.2823114,21.6736326,0.029,0.028,22.428,0.075,21.61,0.048,21.34,0.028,20.668,0.037
114.2824328,21.5096081,0.011,0.012,21.332,0.049,20.56,0.015,20.146,0.035,20.028,0.006
114.282538,21.5337578,0.016,0.006,18.972,0.008,18.626,0.005,18.508,0.003,18.489,0.02
114.2833358,21.5506467,0.016,0.02,21.47,0.041,20.201,0.019,19.56,0.01,19.305,0.015
114.2834754,21.4456355,0.003,0.004,16.849,0.003,16.441,0.002,16.281,0.003,16.234,0.007
114.2836063,21.5408206,0.022,0.045,21.906,0.093,20.655,0.01,19.825,0.014,19.406,0.021
114.2839605,21.6441973,0.051,0.03,21.766,0.157,22.325,0.17,21.198,0.041,20.653,0.046
114.2844811,21.6047902,0.01,0.01,22.145,0.135,21.217,0.043,19.998,0.019,19.443,0.023
114.284483,21.661869,0.007,0.002,19.875,0.011,18.94,0.006,18.566,0.006,18.401,0.014
114.2845572,21.6694878,0.004,0.006,16.759,0.004,16.521,0.002,16.457,0.004,16.473,0.008
114.2846378,21.5210476,0.009,0.009,21.887,0.171,21.076,0.029,19.847,0.008,19.306,0.02
114.2846826,21.6338353,0.004,0.001,19.992,0.012,19.643,0.009,19.516,0.007,19.532,0.038
114.2847443,21.5522065,0.008,0.015,19.075,0.006,17.869,0.002,17.207,0.004,16.909,0.006
114.2849177,21.6650617,0.007,0.014,21.187,0.043,20.005,0.013,19.457,0.013,19.203,0.021
114.2850732,21.5545634,0.005,0.009,18.113,0.005,17.001,0.003,16.413,0.002,16.138,0.005
114.2853836,21.5902862,0.003,0.001,19.582,0.009,18.493,0.005,17.945,0.002,17.707,0.005
114.2857856,21.467319,0.009,0.013,21.695,0.059,20.604,0.019,19.61,0.018,19.207,0.009
114.2858398,21.5569692,0.01,0.01,22.337,0.155,21.335,0.027,19.982,0.026,19.397,0.028
114.2859384,21.5995523,0.004,0.003,20.877,0.02,19.801,0.016,19.315,0.011,19.056,0.025
114.2865516,21.511768,0.009,0.006,21.371,0.072,20.185,0.014,19.075,0.006,18.594,0.01
114.2869957,21.7076103,0.047,0.05,21.814,0.021,21.687,0.034,21.277,0.117,21.561,0.203
114.2871997,21.5371346,0.004,0.002,16.735,0.003,16.317,0.001,16.158,0.002,16.1,0.004
114.287278,21.4530793,0.007,0.012,16.242,0.003,15.945,0.002,15.845,0.003,15.839,0.005
114.2873181,21.4830967,0.002,0.017,15.918,0.002,15.636,0.003,15.547,0.003,15.55,0.003
114.287346,21.4913835,0.016,0.022,21.139,0.08,20.809,0.029,20.397,0.115,20.302,0.106
114.2875825,21.5935551,0.052,0.041,22.254,0.161,21.468,0.069,21.283,0.029,20.959,0.173
114.2876999,21.657037,0.005,0.008,19.518,0.01,18.936,0.004,18.716,0.006,18.549,0.061
114.2877199,21.6794744,0.039,0.019,22.071,0.192,21.462,0.099,20.851,0.028,20.37,0.097
114.2879134,21.4333536,0.005,0.003,18.754,0.006,17.733,0.004,17.312,0.003,17.118,0.004
114.2882443,21.5055639,0.062,0.021,21.473,0.035,20.986,0.052,20.982,0.017,20.536,0.237
114.2885479,21.5699979,0.003,0.002,15.683,0.002,15.385,0.003,15.287,0.001,15.278,0.003
114.2887217,21.4356208,0.009,0.006,15.781,0.002,15.478,0.002,15.386,0.004,15.378,0.003
114.2889641,21.6495067,0.002,0.001,16.301,0.003,15.784,0.003,15.578,0.002,15.511,0.004
114.2895436,21.596917,0.001,0.005,18.06,0.003,17.543,0.005,17.362,0.004,17.307,0.009
114.2897573,21.6027487,0.009,0.01,21.243,0.051,20.093,0.03,19.758,0.024,19.368,0.064
114.2899206,21.4263268,0.006,0.114,20.866,0.029,19.539,0.014,18.682,0.005,18.297,0.012
114.2899588,21.4359804,0.045,0.016,20.388,0.037,19.785,0.016,19.561,0.022,19.46,0.019
114.2900048,21.5596167,0.016,0.016,22.528,0.181,21.57,0.052,20.504,0.027,20.102,0.049
114.2900529,21.5177422,0.001,0.011,17.159,0.003,16.824,0.002,16.715,0.005,16.707,0.006
114.2902735,21.5020443,0.003,0.002,16.25,0.003,15.814,0.001,15.678,0.003,15.661,0.01
114.2903258,21.5220598,0.019,0.019,21.895,0.049,21.347,0.032,21.073,0.061,20.824,0.108
114.2904909,21.4436304,0.004,0.006,21.546,0.051,20.275,0.007,19.527,0.014,19.173,0.048
114.2909884,21.4675632,0.004,0.004,19.259,0.008,18.392,0.005,18.052,0.002,17.919,0.003
114.2910407,21.6804439,0.01,0.007,19.906,-999,21.778,0.053,19.551,0.012,18.471,0.013
114.2918205,21.4994193,0.012,0.011,20.68,0.036,20.333,0.018,20.194,0.048,20.184,0.026
114.2920312,21.4834204,0.007,0.009,21.078,0.041,19.852,0.019,19.224,0.01,18.935,0.019
114.2920756,21.6253583,0.009,0.01,21.84,0.051,20.925,0.023,19.922,0.025,19.496,0.026
114.2924948,21.5655398,0.014,0.014,21.862,0.121,20.913,0.018,20.528,0.036,20.337,0.04
114.2927987,21.578721,0.006,0.004,16.708,0.002,16.403,0.002,16.291,0.005,16.287,0.005
114.2928514,21.4766762,0.011,0.043,18.61,0.008,17.503,0.003,16.997,0.007,16.777,0.003
114.2933369,21.5524415,0.043,0.034,21.905,0.107,21.766,0.053,21.515,0.057,21.374,0.169
114.2938632,21.5321871,0.002,0.013,18.102,0.006,17.754,0.004,17.619,0.005,17.608,0.009
114.2939114,21.4076525,0.006,0.027,22.04,0.097,20.89,0.027,19.489,0.008,18.81,0.018
114.2940158,21.6040357,0.005,0.003,20.341,0.019,19.237,0.008,18.605,0.01,18.29,0.014
114.2942531,21.4096796,0.016,0.03,22.131,0.183,21.619,0.042,20.506,0.036,20.014,0.025
114.294351,21.5631862,0.007,0.002,20.346,0.021,19.684,0.009,19.399,0.007,19.27,0.027
114.2946428,21.5954741,0.013,0.012,20.207,0.031,19.684,0.019,19.445,0.011,19.31,0.021
114.2950253,21.6240002,0.004,0.002,16.975,0.002,16.53,0.002,16.349,0.002,16.307,0.006
114.2950431,21.5125585,0.013,0.013,22.254,0.099,21.144,0.021,20.209,0.034,19.845,0.033
114.2951888,21.6307254,0.016,0.015,22.47,0.057,21.486,0.032,20.613,0.035,20.296,0.046
114.2953174,21.4078111,0.011,0.021,22.165,0.061,20.909,0.022,20.223,0.031,19.862,0.02
114.2956644,21.643962,0.011,0.01,22.236,0.228,21.396,0.03,20.202,0.02,19.679,0.037
114.2957315,21.6614277,0.009,0.004,21.623,0.059,20.354,0.017,19.301,0.011,18.779,0.018
114.2958435,21.4960963,0.002,0.017,16.943,0.005,16.352,0.002,16.114,0.003,16.022,0.008
114.2959977,21.6107773,0.015,0.015,12.053,0.024,10.561,0.035,9.653,0.033,13.033,0
114.2961084,21.3993092,0.01,0.007,21.597,0.11,20.442,0.013,19.37,0.02,18.869,0.026
114.2962107,21.4930671,0.004,0.006,19.459,0.018,18.601,0.013,18.238,0.007,17.807,0.083
114.2962631,21.4778565,0.004,0.021,15.147,0.002,14.72,0.002,14.562,0.002,14.529,0.002
114.2965865,21.6105429,0.001,0.001,12.168,-999,10.739,-999,10.012,-999,9.526,-999
114.2966764,21.6035956,0.015,0.006,21.397,0.057,20.169,0.016,19.323,0.007,18.915,0.012
114.2966837,21.6106916,0.066,0.066,12.241,0.017,10.886,0.009,9.959,0.156,9.696,0.035
114.2969407,21.6444459,0.005,0.005,20.929,0.021,19.9,0.011,19.356,0.011,19.15,0.019
114.2971603,21.7189806,0.012,0.043,21.807,0.067,20.753,0.017,19.989,0.027,19.797,0.077
114.2971813,21.5408795,0.016,0.021,22.565,0.192,21.724,0.041,20.597,0.018,20.038,0.045
114.2973758,21.5642548,0.009,0.009,20.822,0.028,20.372,0.017,20.211,0.025,20.22,0.082
114.2974915,21.414864,0.009,0.095,18.743,0.01,18.271,0.003,18.079,0.008,17.991,0.004
114.2979384,21.6490563,0.005,0.001,16.577,0.002,15.953,0.002,15.711,0.002,15.618,0.004
114.2979618,21.4778955,0.006,0.011,17.193,0.007,16.704,0.002,16.542,0.003,16.502,0.000465
114.2987996,21.6496201,0.021,0.017,18.468,0.006,18.093,0.004,17.952,0.005,17.933,0.009
114.2990415,21.49519,0.012,0.014,21.716,0.191,21.045,0.033,19.907,0.101,19.265,0.01
114.2993135,21.5714144,0.006,0.01,18.269,0.004,17.094,0.003,16.442,0.006,16.143,0.005
114.2994825,21.5004185,0.002,0.015,19.039,0.014,17.888,0.004,16.881,0.005,16.444,0.009
114.299559,21.5910962,0.023,0.008,21.384,0.256,20.734,0.038,19.437,0.016,18.854,0.008
114.2999779,21.5703646,0.007,0.009,19.245,0.004,18.675,0.005,18.439,0.014,18.348,0.007
114.3002246,21.6344618,0.015,0.012,21.337,0.063,20.819,0.015,20.599,0.031,20.352,0.06
114.3003869,21.7077114,0.013,0.006,18.641,0.006,17.42,0.005,16.316,0.002,15.816,0.004
114.3005486,21.5319278,0.004,0.004,18.276,0.005,17.73,0.004,17.524,0.002,17.451,0.005
114.3005828,21.6954013,0.023,0.018,21.101,0.03,20.554,0.031,20.358,0.007,20.295,0.073
114.3006176,21.4889079,0.016,0.015,21.6,0.172,21.319,0.048,20.167,0.033,19.717,0.049
114.3009797,21.4198267,0.011,0.118,19.287,0.009,18.353,0.003,17.982,0.005,17.803,0.008
114.3010455,21.4869485,0.027,0.016,21.515,0.11,20.754,0.042,20.394,0.032,19.862,0.063
114.3011817,21.6951876,0.012,0.005,21.552,0.18,20.237,0.024,19.222,0.011,18.821,0.004
114.3015249,21.5518462,0.034,0.032,22.092,0.267,21.898,0.06,21.362,0.067,20.744,0.041
114.3016427,21.7248369,0.005,0.021,20.04,0.012,18.778,0.008,17.905,0.003,17.526,0.009
114.302011,21.7346945,0.005,0.014,20.47,0.017,20.092,0.008,19.942,0.016,19.922,0.04
114.302124,21.6218086,0.02,0.097,18.745,0.022,18.381,0.029,18.011,0.014,17.484,0.071
114.3021938,21.3970661,0.015,0.014,21.977,0.373,21.325,0.031,20.502,0.017,20.008,0.025
114.3023141,21.5100816,0.016,0.017,21.136,0.148,20.453,0.024,20.263,0.014,19.762,0.121
114.302629,21.677163,0.003,0.004,19.774,0.01,18.816,0.004,18.429,0.004,18.217,0.012
114.3030881,21.6687041,0.02,0.019,21.709,0.067,21.518,0.035,21.283,0.031,21.22,-999
114.3031559,21.6598654,0.004,0.004,17.892,0.004,17.57,0.003,17.45,0.003,17.422,0.006
114.303189,21.443619,0.006,0.006,21.421,0.022,20.16,0.009,19.507,0.014,19.132,0.003
114.3032866,21.6828329,0.007,0.009,20.935,0.047,19.744,0.013,18.63,0.012,18.159,0.01
114.303466,21.7064355,0.013,0.013,21.51,0.072,20.973,0.023,20.565,0.024,20.407,0.046
114.303621,21.6951514,0.015,0.013,18.174,0.007,17.486,0.002,17.192,0.005,17.068,0.006
114.3037418,21.6833494,0.008,0.003,19.802,0.02,18.581,0.007,17.749,0.015,17.364,0.008
114.3038375,21.6748049,0.019,0.019,22.059,0.049,21.506,0.036,21.109,0.021,20.731,0.096
114.303992,21.5142683,0.01,0.023,21.078,0.029,19.843,0.007,19.289,0.012,19.047,0.002
114.3040416,21.7335743,0.004,0.003,20.026,0.011,19.294,0.013,19.012,0.007,18.881,0.011
114.3040464,21.4168872,0.017,0.035,21.656,0.258,21.704,0.046,20.543,0.016,19.903,0.031
114.3044263,21.6970726,0.01,0.003,18.408,0.006,17.83,0.003,17.596,0.004,17.485,0.007
114.3046197,21.4214917,0.041,0.111,21.231,0.032,20.006,0.006,18.845,0.01,18.356,0.011
114.3046344,21.4467859,0.003,0.013,18.099,0.007,17.759,0.003,17.652,0.007,17.633,0.008
114.304722,21.4604443,0.005,0.013,20.603,0.036,19.372,0.006,18.15,0.002,17.63,0.006
114.304823,21.6155924,0.01,0.01,22.089,0.08,21.01,0.022,20.135,0.022,19.677,0.057
114.3048472,21.715083,0.028,0.027,21.924,0.026,21.625,0.04,21.388,0.096,21.328,0.004
114.3050502,21.4563079,0.006,0.009,17.849,0.006,17.163,0.003,16.876,0.004,16.753,0.003
114.3053257,21.5774286,0.002,0.003,17.1,0.002,16.623,0.002,16.467,0.003,16.42,0.003
114.3053844,21.5875257,0.007,0.008,15.441,0.003,14.989,0.001,14.835,0.003,14.777,0.003
114.3055136,21.5605503,0.005,0.002,16.816,0.003,16.153,0.002,15.904,0.004,15.806,0.002
114.3062291,21.4499252,0.012,0.003,18.688,0.012,18.261,0.003,18.102,0.005,18.059,0.01
114.3064628,21.5272239,0.001,0.002,16.881,0.003,16.426,0.002,16.285,0.002,16.249,0.004
114.3064806,21.4719224,0.03,0.038,19.671,0.007,19.306,0.009,19.211,0.009,19.187,0.018
114.3065387,21.5734746,0.08,0.046,21.221,0.062,20.201,0.068,19.748,0.059,19.516,0.054
114.3066494,21.3926271,0.006,0.004,20.673,0.023,19.459,0.005,18.163,0.005,17.576,0.008
114.3067839,21.5668037,0.013,0.013,21.361,0.045,20.91,0.038,20.663,0.029,20.74,0.031
114.3069488,21.5734742,0.031,0.01,20.626,0.065,19.958,0.018,19.749,0.013,19.393,0.028
114.3074422,21.7311432,0.006,0.007,21.949,0.038,20.724,0.015,19.686,0.009,19.262,0.017
114.3076702,21.4439443,0.008,0.014,18.181,0.009,17.891,0.003,17.791,0.004,17.775,0.007
114.307788,21.4193006,0.099,0.051,21.814,0.137,21.527,0.044,21.566,0.081,20.928,0.166
114.3080836,21.7530324,0.003,0.003,17.401,0.004,16.326,0.003,15.808,0.002,15.578,0.005
114.3082503,21.3946678,0.001,0.002,19.532,0.014,18.318,0.004,17.057,0.007,16.502,0.005
114.3083813,21.5605375,0.007,0.005,14.864,0.002,14.483,0.003,14.351,0.002,14.332,0.002
114.3083927,21.3897436,0.006,0.007,18.633,0.009,18.264,0.004,18.144,0.012,18.127,0.01
114.308491,21.6074296,0.007,0.005,18.981,0.005,18.102,0.004,17.756,0.003,17.619,0.01
114.308584,21.4646187,0.006,0.051,20.643,0.03,19.516,0.007,18.986,0.013,18.767,0.016
114.3086243,21.4965346,0.018,0.022,21.788,0.181,21.16,0.024,20.811,0.041,20.444,0.044
114.3087281,21.5486294,0.002,0.006,18.566,0.01,17.615,0.003,17.229,0.006,17.066,0.004
114.3087887,21.6400069,0.018,0.018,21.928,0.078,21.362,0.026,21.108,0.048,20.905,0.106
114.3089187,21.5400508,0.002,0.003,18.369,0.006,18,0.003,17.878,0.007,17.846,0.01
114.3091976,21.5773101,0.011,0.014,19.916,0.021,18.814,0.004,18.273,0.005,18.053,0.006
114.3092941,21.4773327,0.028,0.041,21.063,0.038,20.427,0.093,20.207,0.011,19.665,0.054
114.3095364,21.6194679,0.013,0.013,22.47,0.13,21.378,0.044,20.354,0.018,19.848,0.018
114.3095383,21.5366339,0.021,0.03,21.485,0.13,20.787,0.036,20.742,0.049,20.409,0.039
114.3098956,21.6707894,0.011,0.008,21.701,0.06,20.523,0.015,20.041,0.018,19.726,0.043
114.3099445,21.7132325,0.013,0.013,21.617,0.046,20.891,0.034,21.059,0.032,20.925,0.037
114.3099809,21.3949766,0.004,0.004,18.008,0.007,17.522,0.003,17.333,0.005,17.253,0.004
114.3100869,21.4663201,0.005,0.037,15.902,0.002,15.512,0.003,15.378,0.003,15.359,0.003
114.310245,21.5078525,0.024,0.025,21.737,0.192,21.4,0.033,21.1,0.033,20.728,0.062
114.3102794,21.3785783,0.014,0.027,18.697,0.013,17.513,0.009,16.718,0.005,16.326,0.013
