#AGE= 2.000 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
6 0.139909 3.4958 5.1484 -2.6281 11.8625 14.2765 13.0574 11.5775 10.9328 10.6210 12.4988
7 0.179725 3.5003 5.0753 -2.4279 11.3491 13.7007 12.4973 11.0630 10.4296 10.1238 11.9699
8 0.233422 3.5085 5.0187 -2.2251 10.8106 13.0579 11.8790 10.5203 9.9092 9.6173 11.4018
9 0.287240 3.5155 4.9762 -2.0647 10.3883 12.5528 11.3975 10.0957 9.5019 9.2185 10.9569
10 0.307905 3.5179 4.9572 -2.0059 10.2362 12.3736 11.2279 9.9434 9.3547 9.0729 10.7982
11 0.316916 3.5188 4.9461 -1.9784 10.1660 12.2931 11.1517 9.8733 9.2863 9.0048 10.7257
12 0.322110 3.5194 4.9396 -1.9624 10.1253 12.2459 11.1072 9.8326 9.2467 8.9654 10.6836
13 0.325971 3.5198 4.9343 -1.9504 10.0947 12.2113 11.0744 9.8020 9.2170 8.9357 10.6522
14 0.330217 3.5203 4.9292 -1.9377 10.0621 12.1736 11.0387 9.7694 9.1852 8.9043 10.6183
15 0.336556 3.5210 4.9216 -1.9192 10.0148 12.1195 10.9875 9.7220 9.1391 8.8586 10.5695
16 0.345662 3.5220 4.9117 -1.8935 9.9488 12.0430 10.9152 9.6558 9.0750 8.7951 10.5009
17 0.369583 3.5251 4.8943 -1.8345 9.7941 11.8571 10.7411 9.4999 8.9267 8.6497 10.3379
18 0.416985 3.5326 4.8619 -1.7193 9.4895 11.4848 10.3949 9.1907 8.6368 8.3682 10.0135
19 0.459490 3.5408 4.8246 -1.6071 9.1927 11.1247 10.0613 8.8867 8.3545 8.0964 9.6966
20 0.481842 3.5457 4.8044 -1.5460 9.0305 10.9262 9.8775 8.7199 8.2016 7.9505 9.5222
21 0.493232 3.5490 4.7931 -1.5128 8.9425 10.8160 9.7737 8.6290 8.1206 7.8744 9.4257
22 0.506807 3.5526 4.7812 -1.4746 8.8401 10.6882 9.6539 8.5233 8.0257 7.7849 9.3138
23 0.519343 3.5562 4.7710 -1.4393 8.7452 10.5686 9.5419 8.4254 7.9381 7.7025 9.2098
24 0.532045 3.5603 4.7612 -1.4028 8.6467 10.4409 9.4211 8.3239 7.8483 7.6186 9.1001
25 0.545771 3.5652 4.7514 -1.3628 8.5342 10.2885 9.2728 8.2083 7.7491 7.5272 8.9717
26 0.561081 3.5710 4.7410 -1.3179 8.4001 10.1011 9.0848 8.0725 7.6363 7.4256 8.8147
27 0.578985 3.5778 4.7289 -1.2658 8.2433 9.8846 8.8645 7.9166 7.5083 7.3094 8.6314
28 0.598097 3.5850 4.7161 -1.2101 8.0783 9.6597 8.6398 7.7542 7.3732 7.1851 8.4411
29 0.612246 3.5902 4.7052 -1.1685 7.9646 9.5097 8.4966 7.6419 7.2749 7.0914 8.3144
30 0.634419 3.5990 4.6910 -1.1029 7.7699 9.2415 8.2318 7.4494 7.1148 6.9447 8.0894
31 0.659325 3.6098 4.6763 -1.0285 7.5440 8.9268 7.9186 7.2273 6.9339 6.7802 7.8257
32 0.690090 3.6233 4.6598 -0.9375 7.2624 8.5333 7.5275 6.9548 6.7166 6.5825 7.4963
33 0.851105 3.6945 4.5954 -0.4957 5.9332 6.6616 5.9441 5.7075 5.6309 5.5811 6.0269
34 0.867188 3.7008 4.5884 -0.4553 5.8218 6.5103 5.8265 5.6034 5.5335 5.4899 5.9089
35 0.882032 3.7066 4.5815 -0.4181 5.7199 6.3735 5.7194 5.5084 5.4445 5.4063 5.8014
36 0.896757 3.7121 4.5743 -0.3816 5.6211 6.2425 5.6160 5.4160 5.3580 5.3247 5.6974
37 0.912014 3.7176 4.5664 -0.3443 5.5218 6.1128 5.5124 5.3229 5.2708 5.2419 5.5930
38 0.926808 3.7228 4.5583 -0.3088 5.4280 5.9916 5.4148 5.2348 5.1879 5.1630 5.4946
39 0.942765 3.7282 4.5493 -0.2707 5.3281 5.8644 5.3112 5.1410 5.0997 5.0786 5.3902
40 0.958785 3.7335 4.5396 -0.2328 5.2300 5.7406 5.2096 5.0487 5.0126 4.9951 5.2878
41 0.975031 3.7385 4.5294 -0.1947 5.1325 5.6188 5.1090 4.9569 4.9259 4.9117 5.1862
42 0.990860 3.7434 4.5189 -0.1581 5.0392 5.5032 5.0129 4.8690 4.8426 4.8315 5.0891
43 1.005859 3.7477 4.5084 -0.1236 4.9522 5.3964 4.9234 4.7869 4.7648 4.7563 4.9988
44 1.018650 3.7513 4.4990 -0.0943 4.8789 5.3071 4.8483 4.7176 4.6989 4.6924 4.9229
45 1.030630 3.7545 4.4898 -0.0670 4.8109 5.2250 4.7786 4.6533 4.6377 4.6330 4.8524
46 1.046991 3.7589 4.4771 -0.0305 4.7201 5.1158 4.6858 4.5675 4.5558 4.5534 4.7585
47 1.081355 3.7673 4.4486 0.0458 4.5317 4.8919 4.4935 4.3889 4.3848 4.3869 4.5643
48 1.109931 3.7738 4.4237 0.1082 4.3789 4.7127 4.3381 4.2438 4.2454 4.2510 4.4071
49 1.121200 3.7764 4.4123 0.1345 4.3147 4.6380 4.2729 4.1828 4.1865 4.1935 4.3411
50 1.140261 3.7803 4.3941 0.1757 4.2140 4.5218 4.1707 4.0868 4.0939 4.1029 4.2379
