raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
8.871469,11.6989403,0.03,0.032,22.291,0.161,21.754,0.071,21.066,0.041,20.641,0.068,20.132,0.187
8.8714779,12.1929703,0.006,0.008,20.277,0.043,19.628,0.023,19.388,0.036,19.209,0.027,19.108,0.032
8.8714959,11.641354,0.004,0.004,16.998,0.002,16.073,0.003,15.679,0.002,15.507,0.002,15.387,0.004
8.871502,11.3970492,0.005,0.003,19.675,0.012,19.297,0.005,19.188,0.014,19.164,0.017,19.016,0.034
8.8715135,11.5113985,0.005,0.002,14.706,0.003,14.191,0.001,14.012,0.000066,13.959,0.003,13.9,0.002
8.8715298,11.6070406,0.004,0.002,18.47,0.005,17.638,0.003,17.315,0.002,17.179,0.005,17.075,0.009
8.8715336,12.1274007,0.009,0.009,22.102,0.192,21.218,0.031,20.019,0.013,19.477,0.014,19.25,0.023
8.8715551,11.5885867,0.012,0.01,21.837,0.206,20.993,0.02,19.852,0.022,19.267,0.014,19.025,0.033
8.8715571,11.8938143,0.009,0.002,18.071,0.006,17.749,0.005,17.608,0.008,17.585,0.006,17.55,0.021
8.8715687,11.447676,0.017,0.022,21.574,0.052,20.492,0.041,20.199,0.055,19.886,0.054,19.885,0.034
8.8715803,11.7989377,0.016,0.012,21.35,0.055,20.348,0.01,19.864,0.007,19.616,0.019,19.573,0.032
8.8715816,11.4001529,0.006,0.002,21.024,0.034,19.711,0.011,18.897,0.016,18.531,0.009,18.331,0.021
8.8715889,12.0049357,0.011,0.01,21.771,0.036,20.551,0.028,20.144,0.022,19.937,0.019,19.702,0.085
8.8716031,11.7320699,0.116,0.06,22.241,0.141,22.067,0.071,21.179,0.161,21.043,0.029,20.287,0.145
8.8716134,11.8088916,0.029,0.028,21.937,0.058,21.459,0.036,21.317,0.101,21.256,0.039,20.021,0.166
8.87162,11.8553184,0.105,0.075,22.13,0.193,21.601,0.076,21.477,0.044,20.98,0.188,20.524,0.163
8.8716352,11.8812458,0.018,0.017,22.105,0.12,21.198,0.031,20.776,0.039,20.612,0.033,19.98,0.184
8.871663,12.0886023,0.01,0.005,20.408,0.012,19.7,0.011,19.393,0.014,19.23,0.011,19.161,0.074
8.8716644,11.8186977,0.018,0.025,21.626,0.053,20.862,0.036,20.651,0.041,20.44,0.024,19.831,0.14
8.8716687,11.4407417,0.007,0.004,21.503,0.055,20.425,0.013,19.44,0.021,18.99,0.01,18.767,0.04
8.8716785,11.7717636,0.015,0.014,22.206,0.169,20.575,0.029,19.962,0.027,19.463,0.036,19.384,0.044
8.8716793,12.0664258,0.019,0.018,21.876,0.062,20.965,0.034,20.331,0.031,20.156,0.041,19.901,0.048
8.871684,11.5898119,0.005,0.007,18.746,0.007,17.573,0.004,16.971,0.004,16.699,0.01,16.539,0.011
8.871702,11.9864833,0.003,0.003,20.427,0.024,19.212,0.007,18.172,0.008,17.717,0.004,17.502,0.01
8.8717075,12.0425893,0.013,0.007,20.96,0.023,20.361,0.01,20.095,0.016,19.994,0.018,19.892,0.055
8.8717152,11.7555155,0.026,0.02,21.94,0.113,21.306,0.029,20.938,0.057,20.596,0.093,20.453,0.15
8.8717156,11.7657456,0.016,0.016,21.844,0.046,20.877,0.024,20.424,0.012,20.143,0.022,20.06,0.172
8.8717196,12.0952335,0.004,0.002,19.08,0.006,18.369,0.004,18.058,0.004,17.913,0.006,17.813,0.024
8.8717251,11.9207103,0.006,0.012,18.875,0.007,17.633,0.002,16.884,0.011,16.552,0.003,16.368,0.005
8.8717282,11.8198268,0.004,0.004,18.863,0.006,17.702,0.002,16.586,0.009,16.087,0.005,15.85,0.002
8.8717356,11.764483,0.004,0.004,19.232,0.006,18.363,0.011,17.834,0.009,17.625,0.013,17.458,0.011
8.8717728,11.8483993,0.003,0.003,20.384,0.021,19.102,0.005,18.157,0.008,17.711,0.005,17.504,0.005
8.8717873,11.5950817,0.016,0.011,22.07,0.044,21.44,0.036,20.049,0.021,19.401,0.03,19.046,0.042
8.87179,12.0937617,0.005,0.006,20.992,0.02,19.838,0.007,19.221,0.007,18.916,0.019,18.787,0.037
8.8717964,12.1394176,0.003,0.009,18.901,0.008,17.773,0.005,17.181,0.005,16.934,0.008,16.757,0.009
8.8717972,11.4469651,0.004,0.005,15.716,0.002,15.353,0.000583,15.233,0.002,15.219,0.004,15.199,0.004
8.8718193,11.9459964,0.004,0.005,20.95,0.022,19.714,0.005,18.854,0.008,18.45,0.012,18.273,0.006
8.8718257,11.7407669,0.001,0.001,10.263,0.001,10.481,0.064,9.384,0.209,9.209,0.001,10.481,-999
8.8718544,11.7234965,0.006,0.005,13.112,-999,12.75,-999,12.597,-999,12.517,-999,12.421,0.003
8.8718591,11.8593621,0.007,0.008,12.345,-999,12.043,-999,11.97,-999,11.972,-999,11.979,-999
8.8718597,12.1183303,0.027,0.031,22.159,0.237,21.423,0.047,20.982,0.054,20.866,0.067,20.367,0.136
8.8718671,11.3992884,0.006,0.007,16.896,0.004,15.845,0.004,15.381,0.003,15.19,0.002,15.062,0.004
8.8718736,11.8981638,0.002,0.002,19.648,0.012,18.395,0.006,17.589,0.009,17.236,0.004,17.034,0.014
