raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
8.8216551,11.8076771,0.007,0.003,19.821,0.012,19.412,0.007,19.262,0.009,19.185,0.014,19.116,0.032
8.8218939,11.8391054,0.011,0.01,21.808,0.185,20.803,0.024,20.219,0.016,19.972,0.028,19.811,0.045
8.8219043,11.7953796,0.018,0.013,21.86,0.037,21.008,0.031,20.62,0.017,20.319,0.037,19.881,0.086
8.8219164,11.80459,0.005,0.003,19.446,0.008,18.974,0.008,18.793,0.009,18.719,0.013,18.661,0.022
8.8219821,11.7366947,0.006,0.005,19.451,0.005,18.844,0.007,18.575,0.005,18.483,0.009,18.403,0.023
8.8220659,11.8997378,0.039,0.03,22.002,0.106,21.401,0.038,21.083,0.052,20.835,0.006,20.375,0.156
8.8221237,11.8967203,0.01,0.011,20.813,0.033,20.52,0.021,20.244,0.02,20.29,0.021,19.986,0.054
8.8222593,11.7980047,0.011,0.012,21.865,0.125,20.675,0.015,19.827,0.018,19.412,0.012,19.149,0.043
8.8222961,11.7929349,0.004,0.005,18.27,0.004,17.767,0.003,17.569,0.003,17.496,0.009,17.448,0.009
8.8223146,11.7367021,0.009,0.007,22.186,0.2,21.138,0.039,19.769,0.017,19.12,0.011,18.837,0.013
8.822342,11.906592,0.002,0.015,16.765,0.003,16.137,0.002,15.904,0.002,15.831,0.005,15.768,0.008
8.8225619,11.883164,0.004,0.007,14.921,0.001,14.627,0.002,14.544,0.002,14.548,0.003,14.53,0.003
8.8225846,11.749907,0.007,0.005,17.721,0.006,16.715,0.002,16.309,0.004,16.136,0.004,16.015,0.003
8.822622,11.8705168,0.014,0.013,21.81,0.084,21.049,0.044,20.66,0.02,20.544,0.03,20.186,0.078
8.8226929,11.8345852,0.004,0.019,20.521,0.022,19.324,0.005,18.235,0.006,17.716,0.007,17.461,0.006
8.8227218,11.7460022,0.007,0.003,17.288,0.004,16.847,0.004,16.674,0.004,16.633,0.003,16.585,0.009
8.8227793,11.9295233,0.003,0.005,19.068,0.029,18.351,0.033,17.851,0.016,17.758,0.041,17.702,0.026
8.822793,11.870372,0.003,0.007,15.932,0.002,15.517,0.001,15.364,0.002,15.333,0.003,15.274,0.006
8.8229435,11.7644755,0.005,0.002,20.71,0.041,19.629,0.009,18.14,0.002,17.481,0.004,17.169,0.007
8.8229527,11.9165616,0.022,0.023,20.348,0.034,19.892,0.022,19.689,0.023,19.579,0.023,19.554,0.02
8.8229987,11.6856497,0.009,0.007,21.44,0.065,20.202,0.024,19.65,0.025,19.409,0.027,19.227,0.062
8.8230703,11.7857541,0.007,0.006,21.744,0.047,20.582,0.015,19.306,0.007,18.705,0.01,18.418,0.019
8.8230811,11.7996948,0.017,0.002,21.446,0.035,20.27,0.019,18.921,0.011,18.307,0.005,18.018,0.01
8.8231176,11.9480194,0.008,0.005,20.328,0.018,19.877,0.016,19.457,0.013,19.445,0.038,19.192,0.063
8.8231239,11.8613347,0.009,0.009,21.716,0.16,21.883,0.07,20.308,0.025,19.514,0.012,19.009,0.03
8.8231788,11.681274,0.028,0.024,20.257,0.061,20.125,0.011,20.099,0.051,20.337,0.08,20.098,0.24
8.823201,11.9330335,0.006,0.006,19.943,0.011,19.687,0.009,19.64,0.006,19.599,0.027,19.578,0.028
8.823224,11.7427186,0.016,0.017,22.34,0.196,21.058,0.028,20.444,0.028,20.188,0.027,19.868,0.045
8.8232253,11.9422439,0.003,0.007,19.026,0.006,18.504,0.004,18.293,0.004,18.238,0.009,18.181,0.012
8.8232267,11.9351008,0.007,0.004,20.038,0.015,19.709,0.01,19.595,0.008,19.577,0.018,19.599,0.041
8.8232594,11.8946821,0.013,0.012,21.484,0.037,20.3,0.011,18.87,0.007,18.191,0.005,17.85,0.018
8.8232745,11.9102167,0.003,0.01,15.832,0.003,15.272,0.001,15.074,0.002,15.015,0.002,14.961,0.004
8.8232746,11.919374,0.026,0.024,22.264,0.165,21.488,0.056,20.494,0.037,19.989,0.039,19.889,0.087
8.823293,11.8600979,0.012,0.016,21.505,0.254,21.364,0.032,20.559,0.019,20.098,0.048,19.842,0.034
8.8233136,11.8713149,0.006,0.012,17.5,0.003,16.907,0.003,16.683,0.002,16.595,0.002,16.522,0.008
8.8233354,11.8580049,0.015,0.017,21.782,0.059,20.923,0.016,19.611,0.008,18.988,0.013,18.627,0.032
8.8233519,11.8897816,0.012,0.013,22.489,0.197,21.497,0.023,20.531,0.022,20.007,0.022,19.686,0.079
8.8233802,11.6569948,0.013,0.008,19.842,0.022,18.593,0.005,17.592,0.003,17.141,0.006,16.9,0.01
8.8234022,11.7950293,0.061,0.035,21.968,0.247,21.833,0.106,21.381,0.047,20.906,0.191,19.636,0.152
8.8234709,11.952867,0.003,0.003,18.838,0.008,18.17,0.003,17.887,0.005,17.784,0.007,17.684,0.011
8.8235161,11.7098239,0.022,0.021,22.093,0.182,21.974,0.435,21.04,0.037,20.515,0.025,19.941,0.038
8.8235686,11.6599649,0.033,0.063,21.286,0.041,20.946,0.019,20.795,0.023,20.596,0.076,19.909,0.158
8.8235852,11.7348908,0.091,0.137,12.67,-999,11.958,-999,11.63,-999,11.442,-999,11.35,-999
8.8236763,11.7654764,0.004,0.007,16.194,0.002,15.57,0.004,15.34,0.004,15.271,0.004,15.199,0.004
8.8236892,11.6905,0.01,0.014,21.689,0.052,20.598,0.016,19.415,0.025,18.953,0.006,18.616,0.031
8.8236925,11.8307163,0.019,0.029,21.92,0.068,21.14,0.051,20.528,0.032,20.224,0.049,19.85,0.101
8.8237696,11.9435287,0.006,0.007,21.992,0.101,21.036,0.022,19.756,0.019,19.196,0.009,18.926,0.027
8.8238394,11.9679353,0.009,0.009,22.021,0.09,20.793,0.022,20.194,0.014,20.001,0.037,19.701,0.047
8.823843,11.7492381,0.013,0.033,20.86,0.034,19.848,0.017,19.428,0.006,19.212,0.019,19.088,0.016
8.8238634,11.705994,0.009,0.03,15.743,0.002,15.227,0.003,15.045,0.001,15.009,0.003,14.953,0.004
8.8238865,11.7363529,0.004,0.018,18.89,0.007,18.379,0.004,18.202,0.008,18.152,0.008,18.067,0.008
8.8238869,11.8385535,0.015,0.023,21.097,0.052,19.955,0.018,18.701,0.008,18.135,0.007,17.845,0.013
8.8238971,11.8263541,0.04,0.035,21.983,0.141,21.589,0.067,21.044,0.021,20.713,0.122,20.553,0.169
8.8238997,11.972773,0.007,0.004,21.183,0.021,20.006,0.016,18.807,0.007,18.266,0.012,17.982,0.01
8.8239074,11.9646367,0.008,0.008,22.14,0.045,21.113,0.029,19.995,0.012,19.432,0.017,19.158,0.02
8.8239169,11.6687982,0.016,0.014,20.328,0.049,19.759,0.032,19.561,0.055,19.455,0.043,19.402,0.157
8.8240389,11.9159256,0.017,0.018,20.75,0.022,20.394,0.015,20.327,0.018,20.203,0.028,19.953,0.171
8.8240512,11.6995429,0.01,0.061,19.18,0.025,18.978,0.006,18.9,0.005,18.944,0.032,18.921,0.026
8.8240833,11.7892817,0.005,0.004,17.122,0.003,16.676,0.003,16.523,0.003,16.481,0.005,16.44,0.007
8.824089,11.7342011,0.005,0.01,21.083,0.032,19.884,0.009,19.107,0.009,18.733,0.011,18.602,0.03
8.8241363,11.911602,0.02,0.073,13.304,0.001,12.786,-999,12.472,-999,12.295,-999,12.209,0.006
8.824143,11.6251571,0.008,0.005,19.955,0.009,19.612,0.01,19.493,0.012,19.443,0.018,19.432,0.061
8.8241462,11.9256863,0.007,0.008,18.037,0.005,17.051,0.003,16.671,0.004,16.515,0.005,16.41,0.005
8.8241716,11.6637616,0.036,0.043,21.922,0.059,21.343,0.131,21.125,0.109,20.925,0.113,20.416,0.153
8.8241997,11.802926,0.01,0.012,21.721,0.047,20.739,0.022,20.179,0.018,19.858,0.032,19.821,0.112
8.8242018,11.7120026,0.01,0.012,20.804,0.043,20.162,0.013,19.861,0.011,19.762,0.022,19.527,0.051
8.8242049,11.6438361,0.013,0.014,22.146,0.055,20.961,0.029,20.408,0.024,20.203,0.033,19.732,0.053
8.8242095,11.8000269,0.014,0.008,21.515,0.021,20.184,0.01,19.15,0.008,18.666,0.016,18.44,0.028
8.8242226,11.7801748,0.013,0.013,21.385,0.051,20.992,0.019,20.806,0.022,20.758,0.055,20.057,0.344
8.8242363,11.642314,0.008,0.006,20.223,0.016,19.93,0.012,19.855,0.012,19.819,0.026,19.709,0.03
8.8242384,11.6458391,0.015,0.011,22.057,0.071,21.141,0.028,20.045,0.011,19.54,0.022,19.255,0.037
8.8242435,11.6775776,0.007,0.007,21.405,0.075,20.27,0.017,19.605,0.018,19.294,0.017,19.091,0.024
8.8243058,11.7706521,0.009,0.007,21.787,0.036,20.547,0.013,19.335,0.008,18.792,0.008,18.503,0.025
8.8243093,11.8892468,0.011,0.01,21.848,0.024,21.034,0.032,20.38,0.02,19.995,0.033,19.702,0.039
8.8243226,11.7566349,0.004,0.004,19.658,0.009,18.511,0.005,17.943,0.005,17.692,0.006,17.547,0.011
8.8243505,11.8109749,0.006,0.064,19.367,0.005,18.549,0.003,18.227,0.004,18.098,0.011,18.003,0.008
8.8243632,11.6499148,0.025,0.023,21.308,0.059,20.651,0.028,20.701,0.038,20.428,0.085,20.317,0.292
8.8243696,11.8159007,0.007,0.003,21.149,0.042,19.997,0.009,18.828,0.008,18.304,0.013,18.041,0.008
8.8244114,11.7766385,0.007,0.007,20.751,0.018,20.19,0.011,20,0.018,19.876,0.013,19.656,0.086
8.8244154,11.7062042,0.01,0.027,14.639,0.002,14.226,0.002,14.092,0.007,14.067,0.003,14.032,0.003
8.8244795,11.9460553,0.012,0.012,22.283,0.054,21.106,0.03,20.568,0.025,20.275,0.032,19.969,0.065
8.8244859,11.9030453,0.009,0.002,19.005,0.006,18.436,0.006,18.219,0.006,18.124,0.005,18.042,0.016
8.8244876,11.9617079,0.01,0.011,21.879,0.15,20.758,0.031,20.25,0.023,20.029,0.029,19.863,0.038
8.8244962,11.8113784,0.018,0.018,21.837,0.057,21,0.031,20.631,0.023,20.352,0.06,20.284,0.132
8.8245181,11.9583126,0.01,0.011,22.07,0.078,20.61,0.021,20.009,0.029,19.692,0.048,19.363,0.041
8.8245353,11.8737893,0.013,0.013,22.017,0.182,21.335,0.039,20.534,0.018,20.108,0.02,19.836,0.037
8.8246015,11.8906754,0.025,0.019,19.755,0.077,21.587,0.092,20.739,0.026,20.417,0.052,20.165,0.15
8.8246234,11.9709526,0.009,0.005,20.998,0.021,19.824,0.01,19.075,0.006,18.728,0.007,18.558,0.023
8.8246692,11.8428111,0.003,0.025,15.902,0.002,15.597,0.002,15.481,0.002,15.466,0.003,15.44,0.004
8.824672,11.6300065,0.012,0.012,20.964,0.032,20.665,0.034,20.442,0.035,20.34,0.042,20.098,0.221
8.8246789,11.6689293,0.002,0.003,15.771,0.003,15.19,0.002,14.939,0.006,14.862,0.001,14.78,0.004
8.8246839,11.7002977,0.014,0.03,19.75,0.018,18.618,0.006,18.097,0.006,17.869,0.003,17.73,0.008
8.8247825,11.8666234,0.006,0.007,20.994,0.018,19.536,0.026,18.967,0.011,18.867,0.028,18.642,0.031
8.8248003,11.9088918,0.008,0.008,20.652,0.019,20.368,0.03,20.202,0.014,20.12,0.03,20.01,0.085
8.8248397,11.8015096,0.004,0.004,17.027,0.004,16.55,0.003,16.383,0.003,16.341,0.003,16.288,0.006
8.8248593,11.8271853,0.004,0.004,17.109,0.004,16.679,0.003,16.543,0.003,16.514,0.003,16.469,0.003
8.8248777,11.8188673,0.008,0.003,20.184,0.013,18.983,0.006,17.835,0.004,17.31,0.004,17.046,0.007
8.8248873,11.6038613,0.005,0.002,20.064,0.011,18.868,0.004,17.889,0.006,17.444,0.005,17.218,0.004
8.8248964,11.8771592,0.005,0.017,21.357,0.031,20.118,0.012,18.921,0.008,18.373,0.01,18.058,0.025
8.8249614,11.8230596,0.016,0.021,21.542,0.037,20.952,0.033,20.688,0.039,20.48,0.064,20.666,0.188
8.8249715,12.0159189,0.005,0.001,17.607,0.004,17.297,0.002,17.202,0.002,17.204,0.004,17.189,0.01
8.824997,11.8353969,0.033,0.028,21.794,0.144,21.46,0.04,21.006,0.039,20.752,0.081,20.381,0.145
8.8250659,11.5931949,0.008,0.004,15.758,0.002,14.567,0.002,13.903,0.004,13.622,0.004,13.444,0.004
8.8250822,11.5906353,0.006,0.003,14.364,0.002,14.092,0.006,14.104,0.018,14.045,0.001,14.028,0.004
8.8250844,11.6519855,0.012,0.01,21.541,0.06,20.491,0.02,20.117,0.033,19.872,0.059,19.482,0.042
8.8251019,11.6479336,0.006,0.003,18.508,0.004,17.414,0.003,16.939,0.003,16.731,0.004,16.599,0.005
8.8251057,11.7563059,0.011,0.013,22.326,0.124,21.043,0.02,20.192,0.038,19.766,0.023,19.483,0.091
8.8251738,11.8449763,0.01,0.011,22.661,0.308,21.208,0.018,19.792,0.026,19.161,0.02,18.849,0.046
8.8251883,11.7510852,0.005,0.012,19.911,0.015,18.73,0.007,17.897,0.007,17.559,0.008,17.348,0.009
8.8251977,11.7964778,0.02,0.005,19.122,0.011,18.825,0.005,18.735,0.008,18.727,0.019,18.686,0.014
8.8252009,11.9877717,0.095,0.382,21.879,0.085,21.991,0.062,21.735,0.104,18.434,0.015,19.425,0.176
8.8252136,11.7984336,0.016,0.023,21.776,0.089,20.886,0.035,20.371,0.039,20.166,0.056,19.884,0.068
8.8252294,11.9598642,0.017,0.018,22.325,0.026,21.259,0.064,20.864,0.02,20.645,0.062,19.85,0.144
8.8252327,11.6951637,0.032,0.041,22.026,0.368,21.545,0.055,21.317,0.045,21.073,0.049,19.93,0.288
8.8252626,11.8003072,0.007,0.007,20.984,0.054,19.657,0.018,19.05,0.013,18.824,0.033,18.783,0.034
8.8252756,12.0119046,0.005,0.005,21.422,0.043,20.155,0.011,19.372,0.008,18.949,0.013,18.757,0.012
8.8252808,11.9351365,0.009,0.005,21.904,0.081,20.717,0.021,19.875,0.011,19.495,0.017,19.264,0.049
8.8252966,11.6979701,0.008,0.014,20.532,0.032,20.16,0.024,19.962,0.022,20.001,0.031,19.855,0.022
8.8253509,11.5903385,0.01,0.009,20.995,0.026,20.251,0.012,19.939,0.031,19.735,0.02,19.519,0.043
8.8253844,11.898097,0.032,0.031,21.72,0.038,21.604,0.065,21.304,0.032,21.309,0.177,20.749,0.196
8.8254034,11.6975526,0.009,0.011,19.958,0.056,19.394,0.019,19.177,0.032,19.115,0.041,19.111,0.049
8.8254329,11.6038638,0.009,0.006,19.633,0.013,18.474,0.004,17.283,0.004,16.769,0.005,16.502,0.005
8.8254646,11.9554446,0.008,0.005,14.088,0.001,13.657,0.002,13.537,0.014,13.471,0.003,13.438,0.007
8.8254683,11.9165111,0.007,0.002,20.126,0.013,18.996,0.005,17.906,0.005,17.373,0.007,17.159,0.017
8.8254898,11.8050556,0.013,0.016,21.937,0.127,20.804,0.032,20.322,0.031,19.969,0.03,19.767,0.019
8.8255195,11.7954754,0.004,0.005,19.17,0.009,18.502,0.003,18.247,0.008,18.168,0.008,18.073,0.011
8.82553,11.9671303,0.007,0.009,20.701,0.021,19.97,0.009,19.653,0.011,19.512,0.016,19.302,0.048
8.8255692,12.0221358,0.031,0.023,22.559,0.202,21.764,0.078,21.187,0.027,20.795,0.069,20.533,0.164
8.8255819,11.8608782,0.013,0.023,22.163,0.188,21.273,0.073,19.687,0.03,18.964,0.012,18.566,0.041
8.8256183,11.6983876,0.008,0.027,20.011,0.014,18.772,0.003,17.959,0.006,17.584,0.005,17.415,0.013
8.8256255,11.9473816,0.012,0.011,21.585,0.069,20.448,0.016,19.617,0.009,19.256,0.02,18.985,0.003
8.8256632,11.7123645,0.011,0.027,18.893,0.005,18.592,0.005,18.493,0.003,18.486,0.007,18.442,0.032
8.8256795,12.013133,0.004,0.002,17.059,0.003,16.05,0.003,15.591,0.002,15.383,0.004,15.248,0.013
8.8256945,11.634973,0.003,0.003,19.882,0.016,18.723,0.005,17.651,0.005,17.176,0.006,16.95,0.007
8.8257006,11.755477,0.003,0.01,17.895,0.007,17.514,0.003,17.374,0.004,17.371,0.005,17.323,0.015
8.8257046,11.9846919,0.004,0.005,15.349,0.003,14.737,0.001,14.516,0.003,14.442,0.002,14.373,0.008
8.82571,11.7225929,0.017,0.022,21.957,0.045,20.811,0.026,20.42,0.03,20.163,0.03,19.797,0.045
8.8257174,11.7484362,0.274,0.4,11.996,-999,11.392,-999,11.159,-999,11.043,-999,10.979,-999
8.8257467,11.6725999,0.01,0.01,22.348,0.012,21.205,0.075,20.065,0.035,19.605,0.025,19.305,0.029
8.8257572,11.7963175,0.025,0.012,21.323,0.055,20.876,0.044,20.656,0.068,20.47,0.063,20.051,0.196
8.825777,11.8454967,0.014,0.004,20.395,0.024,19.163,0.005,17.965,0.005,17.44,0.004,17.165,0.009
8.825778,11.6365362,0.004,0.006,21.128,0.04,19.847,0.031,18.835,0.006,18.346,0.009,18.109,0.012
8.8257888,12.0045221,0.009,0.009,22.192,0.178,21.425,0.046,20.189,0.032,19.679,0.028,19.384,0.026
8.825798,11.7379804,0.009,0.025,21.747,0.044,20.581,0.017,19.888,0.014,19.582,0.026,19.277,0.033
8.825807,11.771283,0.01,0.012,21.552,0.06,20.575,0.029,20.135,0.02,19.874,0.057,19.616,0.054
8.8258187,11.6214523,0.082,0.054,22.164,0.176,21.711,0.121,21.356,0.021,20.51,0.464,20.669,0.205
8.8258403,11.6327746,0.005,0.007,21.386,0.039,20.213,0.018,19.084,0.009,18.551,0.01,18.271,0.014
8.8258652,11.6848142,0.01,0.015,22.194,0.054,20.829,0.025,20.169,0.02,19.943,0.022,19.588,0.063
8.8259368,11.8861932,0.011,0.021,19.131,0.007,18.406,0.004,18.145,0.004,18.046,0.01,17.914,0.012
8.8259389,11.5883676,0.003,0.015,17.005,0.002,16.185,0.001,15.874,0.003,15.755,0.003,15.652,0.004
8.8259604,11.6948977,0.009,0.014,22,0.122,21.462,0.04,20.065,0.025,19.44,0.025,19.178,0.028
8.8259979,11.6617137,0.025,0.017,21.511,0.054,20.927,0.032,20.683,0.069,20.573,0.106,20.121,0.328
8.8260027,11.8382138,0.012,0.012,19.435,0.025,18.819,0.015,18.43,0.029,18.408,0.023,18.136,0.015
8.8260238,11.5661654,0.005,0.004,21.724,0.043,20.288,0.026,19.255,0.015,18.747,0.01,18.465,0.03
8.8260303,11.6986345,0.009,0.037,21.519,0.052,20.241,0.014,19.064,0.01,18.502,0.009,18.247,0.01
8.8260511,11.7717013,0.011,0.009,21.027,0.049,20.545,0.031,20.582,0.045,20.294,0.064,20.358,0.143
8.8260627,11.7449701,0.004,0.017,21.844,0.052,20.649,0.02,19.329,0.011,18.748,0.01,18.409,0.028
8.8261582,11.676336,0.006,0.003,16.711,0.005,15.935,0.002,15.655,0.006,15.561,0.003,15.471,0.004
8.8261699,11.8742632,0.004,0.023,19.442,0.011,18.453,0.004,18.058,0.006,17.864,0.01,17.752,0.004
8.8262082,11.7772321,0.005,0.003,21.7,0.045,20.597,0.012,19.319,0.006,18.733,0.011,18.459,0.017
8.8262256,11.9778294,0.006,0.008,18.266,0.005,17.84,0.003,17.687,0.003,17.652,0.003,17.622,0.023
8.8262371,11.6960323,0.016,0.049,21.962,0.067,20.855,0.02,19.887,0.012,19.458,0.027,19.246,0.043
8.826238,11.8721456,0.006,0.011,20.713,0.047,19.717,0.024,19.154,0.035,19.029,0.049,18.938,0.006
8.8262837,11.8273816,0.014,0.013,21.374,0.033,20.92,0.024,20.667,0.031,20.557,0.036,20.137,0.132
8.8262865,11.7128996,0.023,0.01,21.572,0.05,20.596,0.021,19.982,0.013,19.745,0.023,19.532,0.064
8.8262906,11.8571269,0.001,0.001,10,-999,9.074,-999,8.689,-999,8.468,-999,8.328,-999
8.8263199,11.7880752,0.003,0.006,14.557,0.003,14.179,0.002,14.054,0.005,14.051,0.001,14.027,0.005
8.82632,11.7506535,0.033,0.146,22.13,0.355,21.388,0.037,21.022,0.075,20.945,0.065,17.781,0.02
8.8263307,11.6909157,0.039,0.048,20.614,0.031,20.368,0.014,20.336,0.023,20.253,0.02,19.91,0.056
8.826369,11.7638747,0.021,0.023,22.269,0.094,21.213,0.043,20.677,0.034,20.421,0.024,20.01,0.065
8.8264017,11.8963109,0.074,0.06,22.005,0.067,21.855,0.068,21.621,0.022,21.473,0.339,19.907,0.21
8.8264556,11.7190906,0.005,0.009,21.887,0.068,20.668,0.042,19.317,0.012,18.667,0.009,18.344,0.018
8.826517,11.8788188,0.008,0.017,21.917,0.06,20.897,0.033,19.745,0.024,19.145,0.022,18.866,0.024
8.8265557,12.0189081,0.004,0.005,18.968,0.006,18.571,0.004,18.424,0.007,18.368,0.014,18.388,0.03
8.82656,11.8033852,0.006,0.002,20.813,0.012,19.631,0.012,18.62,0.007,18.148,0.005,17.919,0.016
8.8265823,12.0161703,0.012,0.01,21.884,0.166,20.988,0.027,20.446,0.025,20.242,0.043,20.031,0.15
8.8265858,11.9511593,0.014,0.006,21.467,0.039,20.39,0.015,19.769,0.008,19.486,0.026,19.311,0.046
8.8266439,11.7951636,0.009,0.009,20.852,0.02,20.606,0.011,20.485,0.014,20.292,0.046,19.898,0.058
8.8266576,11.7021752,0.006,0.029,20.923,0.032,19.803,0.015,18.98,0.005,18.613,0.008,18.419,0.038
8.8266692,11.7430304,0.011,0.008,21.992,0.08,20.95,0.028,19.66,0.011,19.149,0.024,18.775,0.03
8.8266716,11.8522048,0.035,0.035,21.387,0.067,21.055,0.035,20.63,0.03,20.625,0.162,19.153,0.126
8.8266873,11.8278472,0.008,0.006,20.603,0.042,19.4,0.017,19.01,0.024,18.788,0.043,18.639,0.039
8.8267321,11.6314286,0.007,0.008,21.868,0.168,21.156,0.038,19.907,0.023,19.352,0.016,19.044,0.038
8.8267442,11.5942616,0.006,0.011,21.315,0.019,20.192,0.011,19.51,0.019,19.238,0.018,19.03,0.037
8.8267655,11.8267697,0.003,0.004,20.023,0.012,18.746,0.003,17.881,0.004,17.483,0.005,17.276,0.009
8.8268042,11.7015929,0.018,0.014,21.875,0.205,20.861,0.023,20.289,0.039,20.059,0.071,19.808,0.055
8.8268359,11.8489671,0.011,0.005,19.781,0.017,19.504,0.006,19.146,0.046,19.278,0.064,19.023,0.114
8.8268367,11.9285246,0.004,0.011,19.405,0.008,18.713,0.004,18.406,0.004,18.279,0.006,18.189,0.016
8.82684,12.0123511,0.004,0.004,21.302,0.03,20.095,0.008,18.944,0.006,18.402,0.008,18.143,0.021
8.8268443,12.0403269,0.006,0.009,21.008,0.024,19.867,0.008,19.256,0.01,18.932,0.012,18.805,0.054
8.8268684,11.5760552,0.008,0.004,20.758,0.018,19.73,0.008,19.188,0.012,18.946,0.018,18.798,0.035
8.8268941,11.6173339,0.01,0.007,19.583,0.042,19.315,0.027,18.879,0.029,19.033,0.066,18.839,0.052
8.8269023,11.8895001,0.109,0.191,12.56,-999,11.579,-999,11.071,-999,10.741,-999,10.586,-999
8.8269233,11.7887697,0.013,0.009,20.136,0.008,19.869,0.012,19.788,0.009,19.705,0.019,19.566,0.099
8.8269251,11.5636804,0.009,0.003,17.861,0.016,16.66,0.003,15.35,0.000634,14.735,0.006,14.442,0.000811
8.8269266,11.9371112,0.01,0.008,21.593,0.06,20.545,0.014,19.66,0.019,19.255,0.031,18.983,0.021
8.8269445,11.5750302,0.011,0.01,21.406,0.074,20.364,0.033,19.901,0.059,19.613,0.051,19.418,0.041
8.826961,11.7007682,0.009,0.017,17.659,0.005,16.659,0.002,16.225,0.004,16.05,0.003,15.903,0.004
8.8269695,11.6799068,0.011,0.036,19.287,0.006,18.478,0.003,18.132,0.006,18.001,0.006,17.878,0.015
8.826981,11.5634339,0.007,0.006,18.041,0.01,16.868,0.002,15.509,0.002,14.897,0.004,14.614,0.008
8.8270084,11.7461181,0.025,0.02,22.05,0.046,21.357,0.029,21.01,0.032,20.733,0.075,20.392,0.148
8.8270122,12.0022536,0.003,0.003,16.546,0.003,16.192,0.002,16.064,0.002,16.051,0.005,16.01,0.007
8.82705,11.668422,0.007,0.004,20.387,0.025,19.611,0.013,19.321,0.016,19.214,0.005,19.036,0.014
8.8270506,11.556282,0.008,0.017,20.481,0.008,19.698,0.011,19.43,0.008,19.247,0.016,19.133,0.04
8.8271252,11.5601713,0.009,0.007,20.191,0.048,19.569,0.035,19.114,0.018,19.089,0.038,18.849,0.033
8.8271307,12.0204912,0.079,0.049,21.862,0.068,21.608,0.047,21.39,0.059,20.972,0.244,20.611,0.174
8.8272411,11.864214,0.007,0.01,20.63,0.042,19.709,0.025,19.325,0.028,19.156,0.019,18.994,0.102
8.8272454,11.6721286,0.011,0.006,21.413,0.039,20.156,0.012,19.299,0.016,18.923,0.015,18.671,0.036
8.8272669,11.9563149,0.026,0.014,21.943,0.07,20.979,0.021,19.849,0.013,19.297,0.015,19.021,0.016
8.8272687,11.5931084,0.004,0.001,18.196,0.003,17.074,0.003,16.508,0.005,16.263,0.004,16.084,0.005
8.8272849,11.705509,0.008,0.048,21.784,0.095,20.695,0.023,19.797,0.027,19.422,0.015,18.971,0.045
8.8272988,11.9182389,0.015,0.014,21.828,0.227,21.191,0.019,20.699,0.028,20.428,0.037,20.278,0.244
8.8273004,11.5867709,0.021,0.02,22.193,0.113,21.032,0.042,20.515,0.031,20.363,0.066,19.843,0.211
8.8273039,12.0074261,0.006,0.006,20.906,0.037,19.887,0.021,19.418,0.024,19.271,0.039,19.065,0.026
8.8273065,12.014909,0.014,0.014,21.888,0.187,21.512,0.064,20.704,0.016,20.236,0.029,19.916,0.037
8.8273455,11.8360186,0.005,0.004,19.911,0.012,18.674,0.004,17.842,0.004,17.476,0.006,17.288,0.006
8.8273521,12.0895379,0.01,0.012,21.528,0.025,20.731,0.024,20.433,0.024,20.067,0.069,19.964,0.227
8.8273882,12.0834917,0.028,0.024,21.872,0.104,21.403,0.095,20.858,0.043,20.365,0.133,19.355,0.18
8.8274003,11.5743303,0.004,0.004,17.123,0.003,16.017,0.002,15.464,0.002,15.237,0.002,15.089,0.002
8.8274023,11.61846,0.047,0.028,13.576,0.004,13.397,-999,13.182,-999,13.005,0.001,12.961,0.004
8.8274238,11.6158438,0.018,0.012,20.981,0.08,20.171,0.032,19.666,0.018,19.473,0.032,19.096,0.113
8.8274418,12.0226594,0.008,0.007,20.981,0.019,20.11,0.012,19.729,0.014,19.448,0.015,19.355,0.033
8.8274723,11.5382093,0.003,0.001,15.349,0.002,15.014,0.000937,14.913,0.004,14.914,0.005,14.888,0.006
8.827473,11.8778403,0.008,0.019,19.25,0.009,18.005,0.005,17.239,0.002,16.88,0.005,16.69,0.009
8.827475,12.0906887,0.005,0.009,19.898,0.012,18.625,0.005,17.831,0.004,17.445,0.007,17.26,0.01
8.8274753,11.5687131,0.012,0.003,20.521,0.008,19.527,0.009,19.113,0.021,18.927,0.013,18.75,0.031
8.8275157,11.6133487,0.007,0.006,17.595,0.005,16.901,0.003,16.598,0.004,16.479,0.005,16.383,0.008
8.8275165,11.954493,0.007,0.003,18.347,0.007,18.067,0.004,17.973,0.005,17.976,0.005,17.954,0.023
8.8275181,11.6608153,0.003,0.008,20.688,0.045,19.528,0.01,18.299,0.008,17.751,0.006,17.469,0.004
8.8275416,11.5470592,0.011,0.012,22.032,0.068,20.729,0.02,20.127,0.036,19.977,0.031,19.564,0.055
8.8275421,11.6552155,0.003,0.009,20.515,0.016,19.419,0.006,18.937,0.006,18.716,0.008,18.549,0.014
8.8275478,11.9562122,0.042,0.019,22.103,0.171,21.058,0.039,20.613,0.046,20.238,0.053,19.847,0.071
