#AGE= 1.000 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
57 1.639680 3.9014 4.1603 1.0522 2.2097 2.1159 2.1465 2.2647 2.3321 2.3819 2.1715
58 1.649185 3.9024 4.1542 1.0644 2.1809 2.0842 2.1177 2.2377 2.3052 2.3551 2.1423
59 1.657816 3.9031 4.1483 1.0755 2.1544 2.0555 2.0913 2.2127 2.2802 2.3302 2.1156
60 1.666471 3.9038 4.1422 1.0866 2.1280 2.0269 2.0649 2.1877 2.2553 2.3054 2.0889
61 1.675455 3.9045 4.1358 1.0982 2.1004 1.9972 2.0374 2.1615 2.2292 2.2794 2.0610
62 1.685090 3.9052 4.1287 1.1107 2.0706 1.9651 2.0077 2.1333 2.2009 2.2511 2.0309
63 1.695282 3.9060 4.1209 1.1241 2.0388 1.9310 1.9760 2.1029 2.1706 2.2209 1.9988
64 1.705780 3.9067 4.1125 1.1378 2.0057 1.8957 1.9430 2.0713 2.1391 2.1894 1.9655
65 1.715919 3.9072 4.1040 1.1512 1.9734 1.8616 1.9108 2.0403 2.1081 2.1584 1.9329
66 1.725999 3.9077 4.0953 1.1641 1.9419 1.8286 1.8793 2.0098 2.0775 2.1278 1.9012
67 1.735488 3.9080 4.0867 1.1762 1.9120 1.7975 1.8495 1.9807 2.0482 2.0985 1.8712
68 1.744692 3.9081 4.0780 1.1879 1.8830 1.7676 1.8206 1.9523 2.0197 2.0699 1.8421
69 1.753721 3.9082 4.0692 1.1993 1.8543 1.7383 1.7920 1.9241 1.9913 2.0415 1.8134
70 1.762734 3.9083 4.0601 1.2107 1.8255 1.7089 1.7632 1.8957 1.9627 2.0129 1.7846
71 1.771888 3.9082 4.0507 1.2223 1.7961 1.6790 1.7338 1.8667 1.9334 1.9835 1.7550
72 1.781347 3.9081 4.0407 1.2343 1.7655 1.6482 1.7033 1.8365 1.9028 1.9529 1.7245
73 1.790897 3.9080 4.0303 1.2465 1.7343 1.6168 1.6721 1.8055 1.8715 1.9214 1.6933
74 1.800603 3.9077 4.0191 1.2587 1.7025 1.5853 1.6405 1.7736 1.8393 1.8891 1.6617
75 1.810057 3.9073 4.0077 1.2706 1.6712 1.5544 1.6093 1.7421 1.8072 1.8570 1.6305
76 1.814874 3.9060 3.9984 1.2758 1.6538 1.5390 1.5919 1.7235 1.7877 1.8373 1.6135
77 1.824394 3.9054 3.9865 1.2877 1.6222 1.5083 1.5604 1.6914 1.7552 1.8046 1.5822
78 1.833765 3.9047 3.9743 1.2994 1.5911 1.4785 1.5294 1.6597 1.7228 1.7721 1.5514
79 1.842925 3.9040 3.9620 1.3107 1.5605 1.4495 1.4990 1.6283 1.6908 1.7400 1.5211
80 1.851711 3.9029 3.9492 1.3216 1.5308 1.4217 1.4693 1.5974 1.6591 1.7082 1.4917
81 1.853934 3.9011 3.9411 1.3226 1.5225 1.4170 1.4611 1.5870 1.6479 1.6965 1.4841
82 1.858789 3.9002 3.9332 1.3282 1.5062 1.4025 1.4449 1.5696 1.6300 1.6784 1.4680
83 1.863708 3.8994 3.9251 1.3338 1.4900 1.3882 1.4286 1.5522 1.6122 1.6604 1.4521
84 1.868752 3.8984 3.9168 1.3396 1.4734 1.3739 1.4122 1.5344 1.5939 1.6419 1.4360
85 1.873899 3.8975 3.9082 1.3455 1.4564 1.3591 1.3952 1.5159 1.5751 1.6228 1.4193
86 1.879158 3.8965 3.8992 1.3517 1.4388 1.3440 1.3778 1.4970 1.5557 1.6031 1.4022
87 1.884533 3.8954 3.8898 1.3581 1.4207 1.3285 1.3598 1.4773 1.5356 1.5828 1.3845
88 1.889998 3.8943 3.8802 1.3646 1.4023 1.3130 1.3415 1.4571 1.5150 1.5619 1.3665
89 1.895538 3.8931 3.8702 1.3712 1.3835 1.2972 1.3228 1.4366 1.4940 1.5406 1.3482
90 1.901116 3.8920 3.8601 1.3779 1.3645 1.2814 1.3039 1.4158 1.4729 1.5191 1.3298
91 1.906668 3.8907 3.8498 1.3844 1.3456 1.2658 1.2850 1.3948 1.4514 1.4973 1.3114
92 1.912204 3.8894 3.8391 1.3910 1.3266 1.2507 1.2662 1.3737 1.4299 1.4755 1.2930
93 1.917688 3.8880 3.8283 1.3975 1.3078 1.2358 1.2474 1.3525 1.4083 1.4535 1.2747
94 1.923071 3.8865 3.8173 1.4039 1.2891 1.2214 1.2288 1.3314 1.3866 1.4314 1.2567
95 1.928426 3.8850 3.8061 1.4102 1.2707 1.2074 1.2104 1.3104 1.3650 1.4095 1.2390
96 1.933674 3.8834 3.7948 1.4164 1.2525 1.1938 1.1922 1.2896 1.3436 1.3877 1.2215
97 1.938794 3.8818 3.7835 1.4223 1.2345 1.1807 1.1743 1.2688 1.3223 1.3660 1.2043
98 1.943844 3.8801 3.7720 1.4282 1.2170 1.1681 1.1568 1.2485 1.3012 1.3445 1.1875
99 1.948810 3.8784 3.7605 1.4339 1.1997 1.1559 1.1396 1.2283 1.2803 1.3232 1.1710
100 1.953672 3.8766 3.7489 1.4395 1.1826 1.1440 1.1228 1.2084 1.2596 1.3021 1.1549
101 1.958471 3.8748 3.7373 1.4450 1.1658 1.1323 1.1061 1.1886 1.2392 1.2813 1.1389
102 1.963209 3.8730 3.7258 1.4506 1.1491 1.1207 1.0896 1.1691 1.2189 1.2605 1.1229
103 1.967896 3.8713 3.7141 1.4561 1.1324 1.1093 1.0732 1.1497 1.1987 1.2398 1.1071
104 1.972561 3.8695 3.7026 1.4617 1.1157 1.0975 1.0567 1.1301 1.1783 1.2191 1.0912
