#AGE= 1.250 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
3 0.117206 3.5081 5.2512 -2.7586 12.1071 14.3541 13.1174 11.7980 11.2175 10.9612 12.6673
4 0.135339 3.5082 5.1861 -2.6303 11.7847 14.0216 12.7891 11.4759 10.8971 10.6402 12.3430
5 0.173226 3.5120 5.1050 -2.4277 11.2621 13.4421 12.2220 10.9521 10.3861 10.1348 11.8044
6 0.228164 3.5206 5.0427 -2.2106 10.6933 12.7676 11.5723 10.3818 9.8427 9.5995 11.2050
7 0.289376 3.5292 4.9957 -2.0260 10.2073 12.1857 11.0138 9.8942 9.3815 9.1464 10.6900
8 0.311553 3.5324 4.9777 -1.9633 10.0408 11.9865 10.8214 9.7268 9.2246 8.9932 10.5126
9 0.318267 3.5333 4.9700 -1.9425 9.9864 11.9224 10.7593 9.6723 9.1731 8.9427 10.4550
10 0.321625 3.5338 4.9647 -1.9308 9.9559 11.8871 10.7251 9.6418 9.1442 8.9142 10.4230
11 0.324811 3.5342 4.9589 -1.9191 9.9258 11.8528 10.6919 9.6117 9.1152 8.8855 10.3916
12 0.330879 3.5348 4.9493 -1.8989 9.8743 11.7947 10.6360 9.5603 9.0654 8.8359 10.3384
13 0.340096 3.5360 4.9382 -1.8714 9.8027 11.7110 10.5564 9.4884 8.9966 8.7682 10.2634
14 0.363382 3.5395 4.9216 -1.8132 9.6490 11.5233 10.3799 9.3334 8.8511 8.6264 10.0997
15 0.387316 3.5438 4.9008 -1.7492 9.4787 11.3160 10.1839 9.1599 8.6908 8.4724 9.9168
16 0.442137 3.5551 4.8488 -1.5912 9.0527 10.7944 9.6799 8.7312 8.3010 8.0975 9.4550
17 0.458669 3.5593 4.8320 -1.5422 8.9200 10.6293 9.5205 8.5967 8.1804 7.9828 9.3096
18 0.471635 3.5628 4.8187 -1.5030 8.8132 10.4956 9.3899 8.4884 8.0846 7.8919 9.1916
19 0.485069 3.5667 4.8045 -1.4608 8.6971 10.3487 9.2461 8.3720 7.9823 7.7949 9.0630
20 0.494195 3.5696 4.7936 -1.4299 8.6107 10.2376 9.1348 8.2869 7.9085 7.7248 8.9661
21 0.499182 3.5710 4.7859 -1.4116 8.5593 10.1734 9.0695 8.2380 7.8657 7.6832 8.9094
22 0.501502 3.5712 4.7808 -1.4024 8.5386 10.1558 9.0539 8.2197 7.8466 7.6617 8.8907
23 0.503177 3.5711 4.7761 -1.3957 8.5323 10.1595 9.0648 8.2131 7.8337 7.6450 8.8910
24 0.506742 3.5716 4.7700 -1.3829 8.5084 10.1349 9.0458 8.1861 7.8038 7.6139 8.8687
25 0.513348 3.5736 4.7619 -1.3602 8.4514 10.0623 8.9717 8.1263 7.7500 7.5623 8.8049
26 0.524218 3.5777 4.7517 -1.3246 8.3526 9.9307 8.8373 8.0260 7.6650 7.4827 8.6913
27 0.539889 3.5839 4.7392 -1.2750 8.2089 9.7366 8.6418 7.8827 7.5457 7.3721 8.5255
28 0.561062 3.5930 4.7244 -1.2083 8.0116 9.4663 8.3733 7.6880 7.3858 7.2245 8.2972
29 0.589582 3.6057 4.7067 -1.1193 7.7434 9.0958 8.0109 7.4280 7.1750 7.0298 7.9872
30 0.716657 3.6611 4.6544 -0.7711 6.7118 7.6501 6.7980 6.4586 6.3247 6.2416 6.8526
31 0.736157 3.6705 4.6446 -0.7115 6.5449 7.4160 6.6073 6.3011 6.1846 6.1093 6.6710
32 0.758748 3.6817 4.6357 -0.6436 6.3516 7.1393 6.3904 6.1205 6.0223 5.9568 6.4614
33 0.785842 3.6951 4.6258 -0.5638 6.1243 6.8152 6.1431 5.9091 5.8283 5.7751 6.2174
34 0.928515 3.7550 4.5618 -0.1810 5.1186 5.5064 5.0934 4.9680 4.9481 4.9412 5.1600
35 0.944886 3.7596 4.5509 -0.1443 5.0290 5.3985 5.0019 4.8835 4.8676 4.8634 5.0673
36 0.950900 3.7602 4.5462 -0.1361 5.0072 5.3727 4.9800 4.8627 4.8473 4.8432 5.0450
37 0.968919 3.7653 4.5339 -0.0951 4.9068 5.2521 4.8774 4.7680 4.7571 4.7560 4.9412
38 0.985675 3.7698 4.5217 -0.0574 4.8151 5.1431 4.7838 4.6812 4.6743 4.6758 4.8465
39 1.001693 3.7741 4.5097 -0.0216 4.7282 5.0404 4.6952 4.5991 4.5958 4.5996 4.7569
40 1.019992 3.7787 4.4958 0.0187 4.6310 4.9256 4.5962 4.5072 4.5078 4.5141 4.6567
41 1.047444 3.7854 4.4749 0.0779 4.4876 4.7566 4.4502 4.3716 4.3778 4.3878 4.5089
42 1.070892 3.7908 4.4563 0.1276 4.3687 4.6184 4.3295 4.2590 4.2695 4.2824 4.3868
43 1.086528 3.7943 4.4429 0.1614 4.2885 4.5265 4.2483 4.1830 4.1961 4.2109 4.3046
44 1.153238 3.8080 4.3918 0.2926 3.9731 4.1604 3.9284 3.8846 3.9084 3.9303 3.9808
45 1.191062 3.8146 4.3619 0.3617 3.8091 3.9755 3.7629 3.7293 3.7573 3.7822 3.8133
46 1.208154 3.8175 4.3474 0.3943 3.7323 3.8896 3.6854 3.6565 3.6862 3.7125 3.7350
47 1.225684 3.8206 4.3332 0.4272 3.6541 3.8013 3.6064 3.5824 3.6142 3.6419 3.6551
48 1.244552 3.8241 4.3212 0.4594 3.5780 3.7140 3.5294 3.5110 3.5450 3.5742 3.5771
