raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
290.2320452,37.8196985,0.014,0.012,20.152,0.002,19.341,0.01,18.994,0.023,18.902,0.028,2.91
290.2320887,37.802084,0.006,0.025,20.878,0.001,19.851,0.015,19.517,0.064,19.349,0.028,1.877
290.232104,37.7276525,0.021,0.018,21.823,0.087,20.604,0.05,19.933,0.044,19.683,0.026,2.699
290.2321151,37.6822372,0.007,0.01,14.926,0.005,14.488,0.002,14.33,0.001,14.266,0.004,5.402
290.2321252,37.6891333,0.004,0.009,18.548,0.007,18.088,0.011,17.904,0.004,17.816,0.005,4.99
290.2321329,37.7665747,0.007,0.005,18.582,0.012,17.972,0.000261,17.763,0.001,17.648,0.006,0.587
290.2321736,37.9301166,0.008,0.013,21.166,0.038,20.056,0.019,19.624,0.025,19.39,0.024,9.507
290.2321765,37.8131011,0.018,0.055,19.517,0.1,18.595,0.012,18.391,0.165,18.644,0,2.522
290.2322014,37.7304114,0.01,0.014,20.703,0.026,20.147,0.03,19.965,0.03,19.858,0.021,2.538
290.2322322,37.8483101,0.026,0.022,21.255,0.058,20.152,0.013,19.721,0.026,19.427,0.025,4.612
290.2322848,37.7365757,0.006,0.002,17.657,0.003,17.24,0.004,17.083,0.003,17.028,0.006,2.177
290.2323321,37.7642434,0.006,0.016,21.457,0.112,20.368,0.048,19.733,0.008,19.633,0.121,0.68
290.2324072,37.6153738,0.004,0.019,20.636,0.048,19.633,0.018,19.308,0.011,19.11,0.015,9.405
290.2324097,37.7918898,0.004,0.008,18.515,0.008,17.907,0.006,17.678,0.005,17.578,0.008,1.302
290.232433,37.8561028,0.004,0.012,19.2,0.007,18.841,0.007,18.657,0.000813,18.651,0.016,5.078
290.2324404,37.8056596,0.013,0.204,18.199,0.032,17.647,0.053,17.677,0.0008,17.445,0.024,2.089
290.2324539,37.8852247,0.007,0.01,21.162,0.026,20.027,0.017,19.602,0.024,19.401,0.026,6.819
290.2324675,37.91681,0.01,0.016,20.807,0.011,19.715,0.015,19.308,0.025,19.046,0.031,8.71
290.2324835,37.8028643,0.005,0.01,19.367,0.014,18.966,0.007,18.826,0.023,18.78,0.018,1.927
290.2325489,37.7783982,0.006,0.008,17.948,0.007,17.366,0.005,17.165,0.005,17.065,0.005,0.644
290.2325524,37.708529,0.005,0.007,15.542,0.002,14.555,0.002,14.169,0.002,13.944,0.003,3.836
290.2326258,37.7319112,0.003,0.022,16.947,0.004,16.534,0.004,16.402,0.002,16.367,0.006,2.454
290.2326644,37.8791568,0.007,0.015,16.597,0.002,16.101,0.002,15.918,0.002,15.871,0.006,6.457
290.2326945,37.7904772,0.005,0.005,17.891,0.005,17.277,0.002,17.077,0.005,16.971,0.004,1.23
290.2327444,37.8001124,0.03,0.046,19.714,0.33,18.994,0.014,18.747,0.011,18.605,0.017,1.772
290.2327446,37.743046,0.008,0.015,21.188,0.067,20.021,0.015,19.389,0.02,19.188,0.031,1.807
290.23275,37.8095102,0.037,0.039,19.902,0.043,19.306,0.054,17.544,-999,18.727,0.043,2.317
290.2327674,37.6252337,0.005,0.004,18.75,0.003,18.103,0.004,17.903,0.019,17.802,0.008,8.815
290.2327762,37.7148807,0.008,0.01,21.278,0.134,20.246,0.017,19.793,0.015,19.544,0.016,3.46
290.2328151,37.7387903,0.008,0.007,19.597,0.019,18.881,0.007,18.612,0.01,18.512,0.009,2.054
290.2328535,37.9051006,0.001,0.007,17.966,0.006,17.292,0.005,17.049,0.005,16.935,0.007,8.01
290.2328549,37.787284,0.019,0.047,19.815,0.027,19.046,0.008,18.653,0.055,18.547,0.013,1.063
290.2328999,37.6549425,0.018,0.027,21.663,0.076,21.046,0.035,20.79,0.037,20.723,0.096,7.037
290.232936,37.7378717,0.069,0.031,18.241,0.019,17.656,0.017,17.312,0.018,17.268,0.013,2.109
290.2329701,37.7653077,0.006,0.052,17.854,0.066,17.296,0.094,17.148,0.1,17.194,0.018,0.663
290.2329726,37.7655066,0.1,0.51,15.942,-999,17.429,0.052,17.084,0.006,17.171,0.011,0.656
290.2329843,37.7768092,0.003,0.008,19.722,0.017,19.001,0.004,18.705,0.014,18.596,0.018,0.609
290.2330707,37.7533696,0.004,0.007,21.349,0.025,20.056,0.019,19.47,0.037,19.22,0.014,1.234
290.233074,37.7404706,0.002,0.003,18.369,0.003,17.791,0.004,17.584,0.007,17.509,0.006,1.96
290.2330833,37.7794369,0.011,0.017,18.845,0.007,18.2,0.007,17.986,0.004,17.899,0.005,0.703
290.2330906,37.8454969,0.025,0.015,20.404,0.029,19.551,0.012,19.197,0.019,19.041,0.022,4.449
290.2330925,37.6271726,0.002,0.008,19.702,0.002,18.825,0.008,18.506,0.003,18.353,0.008,8.7
290.2331314,37.8006351,0.002,0.012,18.76,0.01,18.145,0.007,17.943,0.008,17.848,0.012,1.807
290.2331429,37.8217243,0.006,0.016,19.697,0.015,18.911,0.01,18.641,0.01,18.536,0.008,3.039
290.2331457,37.7301637,0.018,0.009,20.351,0.033,19.462,0.014,19.143,0.008,19.014,0.01,2.561
290.2331502,37.6208454,0.003,0.006,18.858,0.005,18.104,0.005,17.769,0.005,17.597,0.005,9.079
290.2331761,37.6949522,0.001,0.003,18.09,0.003,17.501,0.011,17.282,0.006,17.18,0.004,4.648
290.2332071,37.8097937,0.134,0.086,17.886,0.064,17.366,0.005,17.063,0.031,17.27,0.053,2.338
290.2332573,37.7907312,0.011,0.012,20.179,0.1,19.431,0.014,19.007,0.015,18.897,0.013,1.255
290.2332591,37.7877993,0.01,0.007,20.7,0.046,19.452,0.015,18.368,0.014,17.91,0.012,1.1
290.2332626,37.6139585,0.007,0.009,19.39,0.012,18.902,0.013,18.694,0.007,18.615,0.006,9.492
290.2333014,37.7574039,0.011,0.01,21.271,0.047,20.153,0.014,19.685,0.02,19.514,0.017,1.027
290.2333404,37.7492109,0.057,0.038,17.828,0.015,17.076,0.016,16.758,0.009,16.583,0.024,1.468
290.233394,37.884068,0.015,0.018,20.305,0.024,19.528,0.018,19.202,0.02,19.061,0.016,6.753
290.2334217,37.7670086,0.007,0.014,19.907,0.02,19.124,0.007,18.84,0.021,18.683,0.012,0.626
290.2334669,37.7800579,0.014,0.026,20.159,0.039,18.937,0.021,19.474,0.039,18.845,0.09,0.741
290.2335035,37.7863395,0.03,0.023,17.038,0.018,16.454,0.007,16.247,0.006,16.168,0.007,1.031
290.2335252,37.7162056,0.002,0.018,19.866,0.026,19.273,0.01,19.046,0.012,18.935,0.014,3.387
290.2335847,37.6903945,0.005,0.017,20.075,0.041,19.105,0.018,18.665,0.011,18.453,0.011,4.922
290.2335873,37.7827012,0.003,0.004,18.561,0.014,17.944,0.006,17.738,0.008,17.627,0.009,0.858
290.233594,37.9005956,0.005,0.007,20.319,0.025,19.361,0.015,19.027,0.014,18.856,0.015,7.743
290.2336646,37.6935076,0.006,0.011,17.842,0.01,17.028,0.008,16.709,0.003,16.537,0.004,4.737
290.2336985,37.7340593,0.001,0.002,17.798,0.004,17.204,0.003,17.002,0.006,16.932,0.006,2.339
290.2337404,37.923349,0.01,0.015,21.169,0.046,20.527,0.02,20.248,0.033,20.104,0.023,9.105
290.2337525,37.7804652,0.02,0.023,18.25,0.011,17.668,0.009,17.449,0.007,17.363,0.005,0.767
290.2337604,37.8555428,0.013,0.021,21.919,0.156,20.877,0.025,20.123,0.096,19.917,0.029,5.051
290.2338607,37.8075782,0.003,0.012,18.055,0.012,17.462,0.004,17.275,0.011,17.179,0.012,2.217
290.233865,37.707894,0.006,0.017,19.915,0.012,19.33,0.017,19.032,0.016,18.926,0.032,3.882
290.2338903,37.8190456,0.009,0.005,17.83,0.005,17.12,0.005,16.866,0.001,16.742,0.002,2.887
290.2339938,37.7254886,0.003,0.003,18.775,0.013,18.143,0.004,17.935,0.005,17.853,0.01,2.844
290.234025,37.7152145,0.003,0.005,18.76,0.01,18.149,0.007,17.929,0.004,17.833,0.008,3.45
290.2340278,37.8174232,0.007,0.015,19.389,0.008,18.684,0.014,18.445,0.008,18.321,0.009,2.793
290.234035,37.7894179,0.013,0.004,17.786,0.005,17.142,0.004,16.92,0.004,16.809,0.008,1.202
290.2340681,37.8117789,0.004,0.021,18.027,0.007,17.469,0.01,17.3,0.009,17.214,0.007,2.464
290.2340711,37.7535075,0.002,0.026,20.343,0.026,19.439,0.012,19.086,0.019,18.996,0.01,1.248
290.2340863,37.7916614,0.011,0.012,20.512,0.02,19.583,0.006,19.239,0.026,19.053,0.025,1.323
290.2341342,37.7496904,0.012,0.017,18.324,0.006,17.697,0.007,17.465,0.003,17.384,0.007,1.456
290.2341356,37.793906,0.08,0.026,19.403,0.003,18.665,0.018,18.369,0.01,18.214,0.013,1.446
290.2341516,37.9346469,0.005,0.003,17.983,0.003,17.435,0.003,17.205,0.005,17.097,0.004,9.783
290.2341539,37.7000347,0.012,0.014,22.054,0.146,20.923,0.033,20.346,0.037,19.941,0.034,4.351
290.2341691,37.8718231,0.036,0.068,13.345,-999,12.821,-999,12.576,-999,12.437,-999,6.025
290.2341933,37.7838798,0.014,0.018,21.67,0.141,20.456,0.038,19.883,0.035,19.694,0.021,0.931
290.2342022,37.8805315,0.005,0.014,20.948,0.019,20.192,0.021,19.894,0.022,19.917,0.072,6.545
290.2342197,37.8111609,0.006,0.028,18.727,0.007,18.099,0.026,17.776,0.009,17.65,0.007,2.429
290.234233,37.9096798,0.004,0.008,20.343,0.026,19.703,0.016,19.46,0.008,19.314,0.044,8.289
290.2342629,37.6903524,0.019,0.027,20.82,0.052,19.814,0.012,19.37,0.027,19.209,0.026,4.928
290.2343065,37.668096,0.003,0.012,15.274,0.002,14.481,0.000927,14.14,0.004,13.967,0.001,6.256
290.2343268,37.9185789,0.004,0.011,14.64,0.005,13.816,0.002,13.369,-999,13.287,0.005,8.822
290.2343728,37.8052659,0.002,0.013,17.974,0.003,17.372,0.003,17.195,0.011,17.071,0.003,2.09
290.2344388,37.8308586,0.016,0.015,19.763,0.023,18.995,0.007,18.681,0.019,18.564,0.006,3.589
290.2344437,37.6735932,0.006,0.014,17.702,0.005,17.084,0.004,16.869,0.005,16.784,0.003,5.928
290.2344599,37.7551578,0.009,0.003,17.844,0.006,17.229,0.003,17.018,0.003,16.924,0.008,1.171
290.2345517,37.7525296,0.014,0.024,21.858,0.039,20.458,0.114,20.009,0.036,19.757,0.031,1.311
290.2345776,37.7426239,0.002,0.002,15.223,0.005,14.233,0.001,13.901,0.024,13.632,0.002,1.858
290.2346388,37.7563691,0.093,0.143,17.595,0.033,16.985,0.008,16.763,0.056,16.76,0.048,1.114
290.2346556,37.6850913,0.005,0.012,19.978,0.016,18.835,0.009,18.293,0.004,18.006,0.007,5.244
290.2346851,37.7116506,0.015,0.018,22.185,0.144,21.398,0.102,20.57,0.036,20.185,0.049,3.666
290.2346867,37.7865774,0.016,0.016,18.789,0.018,18.151,0.007,17.915,0.016,17.848,0.01,1.074
290.2346896,37.7448304,0.011,0.026,22.085,0.084,20.714,0.023,20.119,0.067,19.831,0.021,1.736
290.2347295,37.8145609,0.005,0.013,18.976,0.007,18.23,0.004,17.968,0.008,17.837,0.008,2.633
290.2347317,37.9118553,0.014,0.008,21.848,0.065,20.424,0.027,19.293,0.017,18.759,0.011,8.42
290.2347426,37.8198117,0.002,0.006,18.452,0.015,17.564,0.005,17.222,0.003,17.07,0.01,2.941
290.2347544,37.6775795,0.009,0.021,21.974,0.06,20.706,0.026,19.908,0.019,19.518,0.016,5.692
290.2348109,37.7065976,0.008,0.019,18.81,0.014,18.17,0.006,17.939,0.001,17.805,0.008,3.966
290.2349033,37.7247271,0.014,0.043,22.069,0.136,20.7,0.028,20.128,0.016,19.837,0.037,2.898
290.2349221,37.756759,0.013,0.02,19.475,0,18.337,0,17.036,-999,16.947,0.005,1.102
290.234935,37.7469371,0.019,0.012,21.744,0.094,20.386,0.02,19.864,0.026,19.721,0.024,1.622
290.2349357,37.8039895,0.052,0.037,20.318,0.038,19.313,0.025,19.115,0.031,18.978,0.003,2.025
290.2349424,37.7176616,0.049,0.018,19.895,0.018,19.105,0.006,18.751,0.014,18.56,0.018,3.313
290.2349469,37.6526637,0.013,0.015,22.023,0.13,21.314,0.102,20.276,0.04,19.87,0.035,7.181
290.2349717,37.8315225,0.016,0.017,20.272,0.018,19.164,0.007,18.747,0.018,18.532,0.009,3.633
290.2349766,37.7885792,0.148,0.009,17.391,0.018,16.793,0.037,16.675,0.032,16.56,0.011,1.182
290.2350113,37.7541946,0.002,0.011,18.51,0.005,17.826,0.003,17.576,0.011,17.46,0.006,1.234
290.2350489,37.7733971,0.003,0.007,17.871,0.008,17.287,0.007,17.094,0.003,17.015,0.003,0.637
290.2350535,37.7739382,0.005,0.026,19.674,0.029,18.807,0.058,18.255,0.012,18.242,0.01,0.643
290.235073,37.7405258,0.003,0.007,19.18,0.009,18.497,0.005,18.244,0.009,18.133,0.013,1.985
290.2351089,37.7073605,0.004,0.009,17.137,0.006,16.572,0.003,16.352,0.001,16.248,0.004,3.923
290.235154,37.6833844,0.038,0.094,21.795,0.074,21.376,0.102,21.113,0.06,20.966,0.157,5.348
290.2351593,37.8288475,0.007,0.018,21.38,0.046,20.233,0.012,19.769,0.007,19.489,0.024,3.476
290.2352713,37.9314194,0.002,0.005,17.034,0.002,16.468,0.002,16.247,0.004,16.143,0.003,9.593
290.2353115,37.7145834,0.032,0.051,21.933,0.124,21.287,0.064,20.755,0.024,20.704,0.06,3.498
290.2353244,37.9357023,0.05,0.016,21.299,0.041,20.076,0.033,19.559,0.011,19.259,0.02,9.85
290.2353338,37.760731,0.12,0.062,17.408,0.012,16.814,0.001,16.638,0.025,16.592,0.019,0.929
290.2353435,37.7705697,0.002,0.003,18.04,0.004,17.461,0.008,17.236,0.004,17.162,0.007,0.65
290.2353557,37.9023737,0.004,0.005,18.149,0.002,17.516,0.006,17.293,0.007,17.202,0.004,7.856
290.2354296,37.8401772,0.01,0.008,19.454,0.000653,18.83,0.01,18.537,0.014,18.448,0.011,4.148
290.2354422,37.7993788,0.005,0.004,18.387,0.014,17.776,0.009,17.57,0.015,17.5,0.003,1.773
290.23545,37.6366598,0.007,0.022,21.114,0.021,20.559,0.047,20.222,0.019,19.991,0.044,8.14
290.2354877,37.6384247,0.006,0.003,18.364,0.004,17.877,0.004,17.667,0.004,17.586,0.008,8.034
290.2355087,37.6166536,0.006,0.009,19.787,0.025,19.303,0.015,19.128,0.017,19.022,0.026,9.337
290.2355767,37.8998326,0.019,0.02,20.776,0.036,20.16,0.017,19.954,0.03,19.849,0.023,7.705
290.2355835,37.7843869,0.003,0.01,20.122,0.058,19.232,0.01,18.901,0.012,18.745,0.013,0.996
290.235694,37.7495031,0.003,0.006,19.14,0.012,18.444,0.007,18.218,0.01,18.114,0.01,1.497
290.235728,37.8115961,0.004,0.014,17.746,0.003,17.132,0.004,16.908,0.01,16.825,0.011,2.473
290.2357298,37.8345685,0.005,0.012,19.086,0.015,18.42,0.004,18.195,0.011,18.134,0.015,3.819
290.2357487,37.8038654,0.003,0.003,16.278,0.003,15.728,0.001,15.554,0.003,15.45,0.004,2.03
290.2357936,37.7937645,0.007,0.006,17.841,0.003,17.067,0.005,16.787,0.003,16.653,0.008,1.472
290.235797,37.866711,0.014,0.02,21.959,0.168,21.01,0.028,20.42,0.028,19.965,0.028,5.728
290.2358054,37.88428,0.004,0.016,20.939,0.019,20.474,0.028,20.262,0.037,20.175,0.056,6.776
290.2358115,37.746383,0.023,0.032,20.995,0.043,19.868,0.01,19.433,0.012,19.239,0.017,1.669
290.2358842,37.6754246,0.018,0.028,21.606,0.042,20.96,0.022,20.623,0.053,20.527,0.023,5.827
290.2359078,37.7503934,0.005,0.014,20.595,0.043,19.599,0.014,19.233,0.009,19.104,0.014,1.454
290.2359209,37.7617642,0.008,0.01,20.279,0.021,19.386,0.016,19.004,0.013,18.852,0.016,0.906
290.235926,37.8544845,0.009,0.009,18.239,0.016,17.678,0.007,17.476,0.009,17.402,0.005,5.001
290.235926,37.9375523,0.016,0.026,20.431,0.059,19.74,0.026,19.293,0.026,19.134,0.014,9.962
290.2359486,37.8138098,0.018,0.033,20.637,0.025,19.646,0.024,19.345,0.018,19.205,0.031,2.604
290.2359558,37.8017021,0.021,0.015,21.795,0.111,20.486,0.025,20.088,0.032,19.864,0.054,1.911
290.2359606,37.8098685,0.002,0.01,17.456,0.005,16.578,0.002,16.266,0.009,16.09,0.004,2.376
290.2359679,37.7766978,0.007,0.025,16.957,-999,18.998,0.133,18.229,-999,18.064,0.006,0.733
290.2359707,37.7545485,0.006,0.004,17.899,0.003,17.176,0.005,16.94,0.011,16.805,0.006,1.24
290.2359708,37.7778059,0.004,0.007,18.28,0.012,17.647,0.003,17.435,0.011,17.313,0.009,0.762
290.2359861,37.9272562,0.014,0.025,20.737,0.018,19.748,0.011,19.361,0.03,19.215,0.016,9.346
290.2359987,37.6821008,0.002,0.015,19.205,0.014,18.544,0.005,18.279,0.002,18.167,0.007,5.43
290.2360188,37.7908608,0.009,0.006,19.285,0.013,18.561,0.009,18.334,0.009,18.189,0.01,1.324
290.236066,37.7761794,0.003,0.019,18.238,0.015,17.654,0.013,17.432,0.006,17.349,0.01,0.726
290.2360679,37.807566,0.003,0.012,17.303,0.004,16.427,0.002,16.112,0.005,15.936,0.002,2.246
