#AGE= 8.000 EEPS=269
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
11 0.117273 3.4927 5.2115 -2.7799 12.2587 14.7132 13.4863 11.9799 11.3216 10.9993 12.9098
12 0.140358 3.4935 5.1411 -2.6285 11.8853 14.3267 13.1072 11.6079 10.9502 10.6250 12.5356
13 0.169389 3.4966 5.0810 -2.4742 11.4951 13.8958 12.6889 11.2175 10.5663 10.2434 12.1364
14 0.196176 3.5013 5.0439 -2.3547 11.1822 13.5247 12.3322 10.9028 10.2625 9.9469 11.8082
15 0.215743 3.5042 5.0188 -2.2765 10.9726 13.2770 12.0928 10.6905 10.0595 9.7502 11.5869
16 0.232259 3.5065 4.9991 -2.2154 10.8084 13.0827 11.9052 10.5243 9.9005 9.5963 11.4133
17 0.248285 3.5087 4.9814 -2.1602 10.6603 12.9068 11.7360 10.3749 9.7573 9.4571 11.2571
18 0.267684 3.5112 4.9625 -2.0986 10.4975 12.7132 11.5510 10.2111 9.5997 9.3030 11.0858
19 0.288188 3.5138 4.9439 -2.0377 10.3362 12.5218 11.3684 10.0488 9.4437 9.1506 10.9163
20 0.302518 3.5155 4.9308 -1.9964 10.2286 12.3945 11.2481 9.9407 9.3393 9.0479 10.8038
21 0.310197 3.5165 4.9254 -1.9765 10.1774 12.3336 11.1911 9.8895 9.2899 8.9989 10.7503
22 0.314915 3.5168 4.9225 -1.9657 10.1505 12.3038 11.1628 9.8628 9.2634 8.9723 10.7231
23 0.318124 3.5168 4.9199 -1.9586 10.1333 12.2862 11.1458 9.8458 9.2462 8.9548 10.7060
24 0.320435 3.5173 4.9191 -1.9531 10.1186 12.2676 11.1286 9.8311 9.2324 8.9412 10.6904
25 0.322047 3.5178 4.9214 -1.9508 10.1114 12.2541 11.1169 9.8236 9.2264 8.9359 10.6813
26 0.323413 3.5180 4.9211 -1.9481 10.1044 12.2458 11.1091 9.8165 9.2197 8.9294 10.6740
27 0.324793 3.5181 4.9178 -1.9426 10.0906 12.2310 11.0950 9.8029 9.2059 8.9154 10.6602
28 0.326143 3.5182 4.9144 -1.9368 10.0762 12.2152 11.0801 9.7885 9.1917 8.9012 10.6456
29 0.327229 3.5184 4.9138 -1.9341 10.0691 12.2065 11.0720 9.7813 9.1849 8.8945 10.6381
30 0.328822 3.5185 4.9114 -1.9290 10.0561 12.1918 11.0582 9.7684 9.1721 8.8817 10.6248
31 0.330099 3.5186 4.9102 -1.9257 10.0482 12.1829 11.0502 9.7603 9.1638 8.8734 10.6168
32 0.334462 3.5190 4.9071 -1.9151 10.0205 12.1506 11.0200 9.7324 9.1368 8.8468 10.5880
33 0.383265 3.5275 4.8661 -1.7893 9.6936 11.7610 10.6654 9.3996 8.8207 8.5380 10.2453
34 0.392717 3.5296 4.8591 -1.7648 9.6301 11.6845 10.5958 9.3340 8.7598 8.4795 10.1777
35 0.404811 3.5325 4.8510 -1.7333 9.5479 11.5838 10.5035 9.2487 8.6817 8.4052 10.0892
36 0.548060 3.5642 4.7291 -1.3420 8.5049 10.2911 9.2893 8.1818 7.7057 7.4727 8.9606
37 0.563790 3.5701 4.7170 -1.2945 8.3715 10.1099 9.1123 8.0448 7.5881 7.3645 8.8079
38 0.581068 3.5768 4.7039 -1.2417 8.2197 9.9003 8.9041 7.8903 7.4576 7.2454 8.6321
39 0.598928 3.5840 4.6906 -1.1864 8.0549 9.6692 8.6710 7.7242 7.3198 7.1210 8.4388
40 0.617003 3.5916 4.6776 -1.1301 7.8822 9.4259 8.4232 7.5515 7.1794 6.9949 8.2348
