raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
259.306796,43.0938809,0.047,0.019,18.777,0.026,18.572,0.053,18.525,0.023,18.407,0.015,2.809
259.306816,43.0860879,0.033,0.006,18.851,0.011,18.635,0.011,18.595,0.009,18.542,0.017,3.241
259.3068179,43.0414645,0.008,0.033,20.406,0.013,20.171,0.017,19.99,0.013,19.962,0.027,5.821
259.3068295,43.1601773,0.335,0.113,18.529,0.011,18.299,0.035,18.219,0.011,18.157,0.019,1.834
259.3068349,43.072713,0.01,0.011,19.721,0.015,19.477,0.019,19.424,0.014,19.381,0.028,4.001
259.3068372,43.0220104,0.013,0.01,21.3,0.039,20.968,0.023,20.755,0.022,20.267,0.195,6.968
259.3068536,43.105955,0.023,0.026,19.92,0.029,19.577,0.027,19.497,0.026,19.523,0.054,2.172
259.3068984,43.1714564,0.018,0.007,18.796,0.015,18.551,0.021,18.578,0.021,18.569,0.012,2.398
259.3069014,43.3536145,0.009,0.005,18.863,0.009,18.668,0.008,18.596,0.006,18.562,0.017,13.078
259.3069027,43.0905212,0.006,0.027,18.78,0.013,18.59,0.018,18.496,0.014,18.396,0.054,2.996
259.306917,43.1631674,0.095,0.027,18.668,0.035,18.345,0.054,18.182,0.029,18.298,0.009,1.979
259.3069411,43.1576497,0.041,0.019,18.377,0.011,18.183,0.025,18.128,0.013,18.25,0.021,1.723
259.3069492,43.080413,0.166,0.059,20.431,0.031,19.982,0.029,19.921,0.017,19.912,0.029,3.563
259.3069562,43.2121206,0.007,0.013,20.8,0.042,20.41,0.036,20.245,0.022,20.183,0.065,4.684
259.306985,43.1194543,0.057,0.106,18.858,0.279,18.372,0.006,18.228,0.037,18.872,0.034,1.554
259.3069938,43.1010091,0.023,0.043,19.761,0.04,19.427,0.043,19.409,0.031,19.335,0.053,2.43
259.306997,43.1373487,0.041,0.097,16.21,0.071,17.18,0.119,15.911,0.059,16.545,0.007,1.17
259.3070166,43.1020002,0.109,0.075,19.048,0.016,18.787,0.037,18.714,0.025,18.718,0.032,2.379
259.3070184,43.1942655,0.014,0.022,20.653,0.055,20.25,0.019,20.14,0.022,20.238,0.007,3.657
259.3070229,43.1774783,0.04,0.077,19.296,0.04,18.573,0.014,18.45,0.027,18.389,0.026,2.722
259.3070347,43.1639196,0.013,0.02,18.535,0.019,18.32,0.018,18.111,0.014,18.152,0.02,2.018
259.3070365,43.2005236,0.017,0.009,20.527,0.028,20.166,0.019,20.069,0.021,20.045,0.065,4.015
259.3070368,43.1138228,0.031,0.03,18.456,0.018,18.263,0.026,18.248,0.033,18.2,0.027,1.796
259.3070489,43.1480231,0.156,0.243,18.651,0.015,18.681,0.016,18.253,0.012,17.834,0.042,1.36
259.307056,43.1882684,0.012,0.006,19.338,0.018,19.106,0.008,19.015,0.008,19.064,0.016,3.319
259.3070717,43.1307189,0.046,0.103,18.137,-999,17.966,-999,17.814,0.021,18.708,0,1.223
259.3070801,43.1348978,0.219,0.117,16.583,0.048,16.434,0.18,16.297,0.045,15.95,0.115,1.177
