#AGE= 4.000 EEPS=270
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
9 0.139832 3.4957 5.1480 -2.6279 11.8621 14.2762 13.0571 11.5772 10.9326 10.6208 12.4985
10 0.176860 3.4999 5.0777 -2.4390 11.3787 13.7360 12.5314 11.0927 10.4582 10.1515 12.0010
11 0.217451 3.5063 5.0300 -2.2760 10.9476 13.2227 12.0373 10.6588 10.0410 9.7451 11.5471
12 0.247349 3.5104 4.9995 -2.1731 10.6751 12.8990 11.7271 10.3842 9.7779 9.4881 11.2600
13 0.276141 3.5140 4.9742 -2.0852 10.4448 12.6250 11.4659 10.1530 9.5554 9.2697 11.0182
14 0.296558 3.5166 4.9557 -2.0259 10.2900 12.4418 11.2919 9.9978 9.4057 9.1223 10.8562
15 0.307514 3.5178 4.9441 -1.9936 10.2068 12.3447 11.2001 9.9146 9.3250 9.0422 10.7697
16 0.314460 3.5186 4.9358 -1.9725 10.1530 12.2828 11.1415 9.8608 9.2726 8.9901 10.7141
17 0.319663 3.5191 4.9289 -1.9564 10.1122 12.2362 11.0973 9.8200 9.2327 8.9504 10.6720
18 0.324177 3.5196 4.9230 -1.9424 10.0766 12.1956 11.0589 9.7845 9.1980 8.9158 10.6354
19 0.326946 3.5199 4.9184 -1.9330 10.0528 12.1688 11.0335 9.7608 9.1748 8.8926 10.6111
20 0.327775 3.5212 4.9245 -1.9327 10.0478 12.1499 11.0183 9.7551 9.1729 8.8926 10.6017
21 0.328543 3.5208 4.9247 -1.9334 10.0504 12.1565 11.0237 9.7578 9.1746 8.8940 10.6054
22 0.329511 3.5201 4.9226 -1.9332 10.0526 12.1669 11.0319 9.7603 9.1749 8.8930 10.6101
23 0.330605 3.5196 4.9214 -1.9326 10.0526 12.1725 11.0361 9.7607 9.1738 8.8912 10.6120
24 0.332199 3.5201 4.9232 -1.9301 10.0445 12.1585 11.0237 9.7522 9.1669 8.8851 10.6020
25 0.333137 3.5209 4.9287 -1.9308 10.0436 12.1483 11.0159 9.7507 9.1678 8.8874 10.5982
26 0.355999 3.5245 4.9094 -1.8723 9.8912 11.9684 10.8518 9.5958 9.0200 8.7425 10.4390
27 0.354418 3.5242 4.9085 -1.8748 9.8995 11.9796 10.8611 9.6046 9.0278 8.7499 10.4481
28 0.359804 3.5252 4.9031 -1.8596 9.8602 11.9334 10.8186 9.5644 8.9899 8.7130 10.4068
29 0.367291 3.5270 4.8966 -1.8388 9.8060 11.8676 10.7578 9.5085 8.9383 8.6636 10.3489
30 0.379295 3.5297 4.8883 -1.8072 9.7210 11.7596 10.6549 9.4216 8.8592 8.5884 10.2557
31 0.557140 3.5696 4.7349 -1.3201 8.4161 10.1345 9.1211 8.0888 7.6441 7.4289 8.8391
32 0.574188 3.5759 4.7225 -1.2694 8.2673 9.9287 8.9146 7.9387 7.5185 7.3145 8.6660
33 0.592691 3.5830 4.7092 -1.2138 8.1027 9.7022 8.6847 7.7749 7.3829 7.1906 8.4743
34 0.608086 3.5890 4.6975 -1.1672 7.9699 9.5242 8.5067 7.6439 7.2726 7.0873 8.3225
35 0.629736 3.5979 4.6833 -1.1018 7.7731 9.2524 8.2343 7.4494 7.1133 6.9419 8.0933
36 0.653530 3.6084 4.6688 -1.0296 7.5518 8.9440 7.9256 7.2325 6.9380 6.7826 7.8342
37 0.679783 3.6202 4.6540 -0.9504 7.3059 8.6008 7.5839 6.9947 6.7487 6.6105 7.5465
38 0.711040 3.6348 4.6384 -0.8567 7.0126 8.1889 7.1887 6.7153 6.5249 6.4062 7.2069
39 0.790306 3.6729 4.6050 -0.6241 6.3020 7.1797 6.3414 6.0502 5.9481 5.8755 6.4206
40 0.816559 3.6843 4.5936 -0.5530 6.0975 6.8943 6.1208 5.8595 5.7711 5.7109 6.2026
41 0.829463 3.6895 4.5873 -0.5192 6.0021 6.7635 6.0190 5.7705 5.6878 5.6331 6.1012
42 0.840913 3.6940 4.5815 -0.4893 5.9185 6.6500 5.9305 5.6923 5.6147 5.5646 6.0129
43 0.852617 3.6986 4.5752 -0.4586 5.8338 6.5358 5.8411 5.6131 5.5404 5.4949 5.9233
44 0.864288 3.7033 4.5689 -0.4277 5.7491 6.4223 5.7520 5.5339 5.4663 5.4251 5.8340
45 0.875453 3.7077 4.5625 -0.3980 5.6683 6.3148 5.6672 5.4582 5.3954 5.3583 5.7488
46 0.886423 3.7120 4.5558 -0.3688 5.5896 6.2112 5.5848 5.3845 5.3262 5.2929 5.6660
47 0.897420 3.7162 4.5488 -0.3396 5.5118 6.1099 5.5036 5.3114 5.2576 5.2277 5.5842
48 0.908619 3.7204 4.5413 -0.3103 5.4340 6.0100 5.4227 5.2382 5.1888 5.1621 5.5028
49 0.919946 3.7244 4.5334 -0.2807 5.3564 5.9114 5.3422 5.1653 5.1199 5.0962 5.4217
50 0.931328 3.7284 4.5251 -0.2511 5.2795 5.8145 5.2626 5.0927 5.0514 5.0305 5.3414
51 0.942613 3.7322 4.5165 -0.2220 5.2041 5.7203 5.1847 5.0216 4.9841 4.9658 5.2629
52 0.949599 3.7345 4.5109 -0.2041 5.1579 5.6630 5.1371 4.9779 4.9427 4.9260 5.2148
53 0.956388 3.7367 4.5053 -0.1866 5.1133 5.6079 5.0911 4.9356 4.9027 4.8874 5.1684
54 0.963006 3.7388 4.4998 -0.1696 5.0699 5.5546 5.0465 4.8947 4.8638 4.8499 5.1234
55 0.969481 3.7408 4.4942 -0.1531 5.0278 5.5031 5.0031 4.8549 4.8259 4.8133 5.0797
